condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pinky_thumb,27,0,2,113,60.15,87.37,0.07,1.37,113,1276,Correct
congruent_pinky_thumb,27,1,2,112,45.29,24.1,0.05,0.38,113,1363,Incorrect
congruent_pinky_thumb,27,2,2,113,39.11,65.34,0.04,1.03,112,1252,Incorrect
congruent_pinky_thumb,27,3,1,99,14.17,34.67,0.02,0.54,109,1381,Incorrect
congruent_pinky_thumb,27,4,1,99,54.03,65.55,0.06,1.03,109,808,Incorrect
congruent_pinky_thumb,27,5,2,113,29.27,48.24,0.03,0.76,113,1227,Correct
congruent_pinky_thumb,27,6,1,99,43.65,53.81,0.05,0.85,99,836,Correct
congruent_pinky_thumb,27,7,1,99,16.18,39.43,0.02,0.62,109,1215,Incorrect
congruent_pinky_thumb,27,8,2,113,20.18,47.71,0.02,0.75,113,2671,Correct
congruent_pinky_thumb,27,9,1,109,59.08,34.97,0.07,0.55,109,1655,Correct
congruent_pinky_thumb,27,10,1,99,45.54,77.35,0.05,1.21,32,1092,Incorrect
congruent_pinky_thumb,27,11,1,109,75.64,47.45,0.08,0.75,109,883,Correct
congruent_pinky_thumb,27,12,1,109,68.06,55.07,0.08,0.87,109,600,Correct
congruent_pinky_thumb,27,13,1,109,73.89,42.27,0.08,0.66,109,780,Correct
congruent_pinky_thumb,27,14,2,113,56.18,70.2,0.06,1.1,112,714,Incorrect
congruent_pinky_thumb,27,15,2,112,60.11,40.92,0.07,0.64,113,673,Incorrect
congruent_pinky_thumb,27,16,2,113,19.97,39.72,0.02,0.62,112,1216,Incorrect
congruent_pinky_thumb,27,17,1,99,21.52,37.86,0.02,0.59,109,1023,Incorrect
congruent_pinky_thumb,27,18,1,99,33.22,65.77,0.04,1.03,109,1526,Incorrect
congruent_pinky_thumb,27,19,2,112,72.01,52.33,0.08,0.82,113,1440,Incorrect
congruent_pinky_thumb,27,20,2,113,35.02,59.56,0.04,0.94,113,1706,Correct
congruent_pinky_thumb,27,21,1,109,55.45,35.85,0.06,0.56,99,1500,Incorrect
congruent_pinky_thumb,27,22,2,113,47.6,69.79,0.05,1.1,113,1933,Correct
congruent_pinky_thumb,27,23,1,109,32.99,14.48,0.04,0.23,109,1257,Correct
congruent_pinky_thumb,27,24,1,109,36.81,11.8,0.04,0.19,109,872,Correct
congruent_pinky_thumb,27,25,2,112,76.97,61.38,0.09,0.96,113,1836,Incorrect
congruent_pinky_thumb,27,26,2,113,37.89,68.13,0.04,1.07,113,953,Correct
congruent_pinky_thumb,27,27,2,112,73.35,50.89,0.08,0.8,112,1155,Correct
congruent_pinky_thumb,27,28,2,112,64.83,41.75,0.07,0.66,112,1011,Correct
congruent_pinky_thumb,27,29,2,112,58.23,39.65,0.07,0.62,112,780,Correct
congruent_pinky_thumb,27,30,1,109,74.38,63.83,0.08,1.0,109,1312,Correct
congruent_pinky_thumb,27,31,1,109,80.63,59.21,0.09,0.93,109,642,Correct
congruent_pinky_thumb,27,32,1,99,55.64,75.0,0.06,1.18,99,1593,Correct
congruent_pinky_thumb,27,33,1,109,38.31,27.0,0.04,0.42,99,1028,Incorrect
congruent_pinky_thumb,27,34,2,112,46.93,35.5,0.05,0.56,112,1624,Correct
congruent_pinky_thumb,27,35,1,99,42.61,58.52,0.05,0.92,109,860,Incorrect
congruent_pinky_thumb,27,36,2,112,74.47,58.93,0.08,0.93,112,1903,Correct
congruent_pinky_thumb,27,37,2,113,33.09,55.9,0.04,0.88,113,1463,Correct
