condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pinky_thumb,40,0,1,109,52.67,24.61,0.06,0.39,99,1340,Incorrect
incongruent_pinky_thumb,40,1,2,112,41.32,62.01,0.05,0.97,113,4,Incorrect
incongruent_pinky_thumb,40,2,1,109,80.87,66.58,0.09,1.05,109,1519,Correct
incongruent_pinky_thumb,40,3,1,109,51.9,40.0,0.06,0.63,109,932,Correct
incongruent_pinky_thumb,40,4,1,99,62.48,75.27,0.07,1.18,109,932,Incorrect
incongruent_pinky_thumb,40,5,1,99,48.18,59.72,0.05,0.94,109,955,Incorrect
incongruent_pinky_thumb,40,6,2,113,88.63,67.39,0.1,1.06,112,952,Incorrect
incongruent_pinky_thumb,40,7,1,109,67.93,39.16,0.08,0.62,109,968,Correct
incongruent_pinky_thumb,40,8,1,109,49.6,42.6,0.06,0.67,99,926,Incorrect
incongruent_pinky_thumb,40,9,1,99,47.84,74.49,0.05,1.17,99,1282,Correct
incongruent_pinky_thumb,40,10,2,112,63.76,79.48,0.07,1.25,113,814,Incorrect
incongruent_pinky_thumb,40,11,2,113,74.24,63.94,0.08,1.0,112,1002,Incorrect
incongruent_pinky_thumb,40,12,1,99,32.78,51.49,0.04,0.81,109,1304,Incorrect
incongruent_pinky_thumb,40,13,2,112,63.6,73.17,0.07,1.15,113,921,Incorrect
incongruent_pinky_thumb,40,14,2,113,54.69,28.81,0.06,0.45,113,1466,Correct
incongruent_pinky_thumb,40,15,2,113,52.91,42.13,0.06,0.66,112,905,Incorrect
incongruent_pinky_thumb,40,16,2,112,28.17,45.55,0.03,0.72,112,1630,Correct
incongruent_pinky_thumb,40,17,2,113,69.94,47.33,0.08,0.74,113,1069,Correct
incongruent_pinky_thumb,40,18,2,112,19.32,33.92,0.02,0.53,112,1062,Correct
incongruent_pinky_thumb,40,19,2,112,66.53,83.48,0.07,1.31,112,872,Correct
incongruent_pinky_thumb,40,20,1,109,60.06,49.31,0.07,0.77,109,1125,Correct
incongruent_pinky_thumb,40,21,1,109,56.24,43.99,0.06,0.69,109,701,Correct
incongruent_pinky_thumb,40,22,2,113,70.48,49.39,0.08,0.78,113,1103,Correct
incongruent_pinky_thumb,40,23,2,113,51.71,44.32,0.06,0.7,112,985,Incorrect
incongruent_pinky_thumb,40,24,2,113,56.19,34.5,0.06,0.54,113,731,Correct
incongruent_pinky_thumb,40,25,1,109,74.85,43.85,0.08,0.69,99,943,Incorrect
incongruent_pinky_thumb,40,26,2,112,37.33,45.5,0.04,0.71,112,1385,Correct
incongruent_pinky_thumb,40,27,1,99,18.54,40.74,0.02,0.64,99,1095,Correct
incongruent_pinky_thumb,40,28,1,109,40.57,15.29,0.05,0.24,109,1011,Correct
incongruent_pinky_thumb,40,29,1,99,66.71,85.28,0.07,1.34,99,1297,Correct
incongruent_pinky_thumb,40,30,1,109,41.68,22.61,0.05,0.36,109,783,Correct
incongruent_pinky_thumb,40,31,1,99,24.37,52.24,0.03,0.82,99,787,Correct
incongruent_pinky_thumb,40,32,2,113,59.2,34.58,0.07,0.54,113,1044,Correct
incongruent_pinky_thumb,40,33,2,112,12.31,37.68,0.01,0.59,112,1013,Correct
incongruent_pinky_thumb,40,34,1,109,42.77,17.21,0.05,0.27,109,840,Correct
incongruent_pinky_thumb,40,35,2,113,46.3,36.79,0.05,0.58,112,688,Incorrect
incongruent_pinky_thumb,40,36,1,109,60.68,48.2,0.07,0.76,109,712,Correct
incongruent_pinky_thumb,40,37,1,99,64.86,77.54,0.07,1.22,99,769,Correct
incongruent_pinky_thumb,40,38,1,99,48.37,71.12,0.05,1.12,99,1052,Correct
incongruent_pinky_thumb,40,39,2,113,85.42,63.61,0.1,1.0,112,927,Incorrect
incongruent_pinky_thumb,40,40,2,113,83.23,64.99,0.09,1.02,113,1240,Correct
incongruent_pinky_thumb,40,41,2,112,29.72,59.64,0.03,0.94,112,723,Correct
incongruent_pinky_thumb,40,42,1,99,26.66,45.17,0.03,0.71,99,797,Correct
incongruent_pinky_thumb,40,43,1,109,61.12,50.71,0.07,0.8,109,690,Correct
incongruent_pinky_thumb,40,44,2,113,82.69,61.96,0.09,0.97,113,934,Correct
incongruent_pinky_thumb,40,45,1,109,80.63,53.04,0.09,0.83,109,995,Correct
incongruent_pinky_thumb,40,46,1,99,38.74,64.18,0.04,1.01,99,600,Correct
incongruent_pinky_thumb,40,47,2,113,88.26,65.68,0.1,1.03,113,753,Correct
incongruent_pinky_thumb,40,48,2,113,65.38,46.46,0.07,0.73,113,576,Correct
incongruent_pinky_thumb,40,49,1,99,24.58,35.69,0.03,0.56,99,767,Correct
incongruent_pinky_thumb,40,50,2,113,42.55,32.08,0.05,0.5,113,1483,Correct
incongruent_pinky_thumb,40,51,2,112,45.9,57.4,0.05,0.9,113,1065,Incorrect
incongruent_pinky_thumb,40,52,2,112,27.78,56.0,0.03,0.88,112,1260,Correct
incongruent_pinky_thumb,40,53,2,113,62.37,37.21,0.07,0.58,113,796,Correct
incongruent_pinky_thumb,40,54,2,112,32.83,62.49,0.04,0.98,112,1038,Correct
incongruent_pinky_thumb,40,55,2,113,62.4,36.99,0.07,0.58,113,748,Correct
incongruent_pinky_thumb,40,56,2,113,74.42,41.99,0.08,0.66,113,887,Correct
incongruent_pinky_thumb,40,57,1,99,11.04,33.69,0.01,0.53,109,1083,Incorrect
incongruent_pinky_thumb,40,58,2,112,38.04,51.0,0.04,0.8,113,1732,Incorrect
incongruent_pinky_thumb,40,59,2,113,85.82,67.66,0.1,1.06,113,669,Correct
incongruent_pinky_thumb,40,60,2,112,32.4,43.74,0.04,0.69,112,787,Correct
incongruent_pinky_thumb,40,61,1,99,59.12,68.21,0.07,1.07,109,991,Incorrect
incongruent_pinky_thumb,40,62,1,99,54.19,63.53,0.06,1.0,99,1348,Correct
incongruent_pinky_thumb,40,63,2,113,31.74,12.37,0.04,0.19,113,1202,Correct
incongruent_pinky_thumb,40,64,2,112,53.69,63.84,0.06,1.0,113,960,Incorrect
incongruent_pinky_thumb,40,65,2,112,38.33,61.83,0.04,0.97,113,989,Incorrect
incongruent_pinky_thumb,40,66,1,109,66.39,41.33,0.07,0.65,109,861,Correct
incongruent_pinky_thumb,40,67,1,109,78.53,50.24,0.09,0.79,109,699,Correct
incongruent_pinky_thumb,40,68,2,113,61.05,33.86,0.07,0.53,112,763,Incorrect
incongruent_pinky_thumb,40,69,1,99,44.34,54.66,0.05,0.86,109,990,Incorrect
