condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,38,0,1,106,61.11,28.33,0.07,0.44,106,4640,Correct
incongruent_pointer_middle,38,1,1,102,38.29,56.1,0.04,0.88,106,2000,Incorrect
incongruent_pointer_middle,38,2,2,107,11.55,35.51,0.01,0.56,107,2600,Correct
incongruent_pointer_middle,38,3,2,107,56.8,77.27,0.06,1.21,100,821,Incorrect
incongruent_pointer_middle,38,4,1,106,49.3,23.35,0.06,0.37,106,2580,Correct
incongruent_pointer_middle,38,5,1,102,43.84,68.13,0.05,1.07,106,822,Incorrect
incongruent_pointer_middle,38,6,1,106,76.82,63.96,0.09,1.0,106,4526,Correct
incongruent_pointer_middle,38,7,2,100,45.05,34.11,0.05,0.54,100,2243,Correct
incongruent_pointer_middle,38,8,1,106,36.06,15.24,0.04,0.24,102,1616,Incorrect
incongruent_pointer_middle,38,9,1,106,37.58,22.78,0.04,0.36,106,2295,Correct
incongruent_pointer_middle,38,10,2,107,28.66,57.44,0.03,0.9,100,4532,Incorrect
incongruent_pointer_middle,38,11,2,100,55.06,43.41,0.06,0.68,100,1125,Correct
incongruent_pointer_middle,38,12,1,102,48.91,62.77,0.05,0.99,106,1569,Incorrect
incongruent_pointer_middle,38,13,2,107,29.12,53.28,0.03,0.84,100,2666,Incorrect
incongruent_pointer_middle,38,14,2,100,51.5,29.63,0.06,0.47,100,3560,Correct
incongruent_pointer_middle,38,15,2,100,69.37,57.99,0.08,0.91,100,2102,Correct
incongruent_pointer_middle,38,16,1,102,27.3,52.61,0.03,0.83,106,817,Incorrect
incongruent_pointer_middle,38,17,1,102,43.74,70.16,0.05,1.1,102,675,Correct
incongruent_pointer_middle,38,18,1,106,71.6,45.72,0.08,0.72,102,2631,Incorrect
incongruent_pointer_middle,38,19,1,102,52.93,80.28,0.06,1.26,106,975,Incorrect
incongruent_pointer_middle,38,20,1,106,71.16,58.12,0.08,0.91,102,1155,Incorrect
incongruent_pointer_middle,38,21,2,107,13.4,32.27,0.01,0.51,107,3844,Correct
incongruent_pointer_middle,38,22,1,102,55.42,71.65,0.06,1.13,106,3251,Incorrect
incongruent_pointer_middle,38,23,1,102,24.59,54.74,0.03,0.86,102,3842,Correct
incongruent_pointer_middle,38,24,1,106,46.32,30.55,0.05,0.48,106,2035,Correct
incongruent_pointer_middle,38,25,1,106,59.43,50.14,0.07,0.79,106,2544,Correct
incongruent_pointer_middle,38,26,2,100,75.38,47.57,0.08,0.75,107,1467,Incorrect
incongruent_pointer_middle,38,27,1,106,35.3,19.32,0.04,0.3,102,2243,Incorrect
incongruent_pointer_middle,38,28,2,100,62.08,36.97,0.07,0.58,100,2488,Correct
incongruent_pointer_middle,38,29,2,100,87.97,68.03,0.1,1.07,107,2524,Incorrect
incongruent_pointer_middle,38,30,2,107,35.9,59.01,0.04,0.93,100,2645,Incorrect
incongruent_pointer_middle,38,31,2,107,34.02,46.27,0.04,0.73,107,2772,Correct
incongruent_pointer_middle,38,32,1,106,68.06,58.3,0.08,0.92,106,7474,Correct
incongruent_pointer_middle,38,33,2,107,47.47,75.13,0.05,1.18,100,1719,Incorrect
incongruent_pointer_middle,38,34,1,106,81.8,68.47,0.09,1.08,106,4182,Correct
incongruent_pointer_middle,38,35,2,107,41.05,57.03,0.05,0.9,107,2394,Correct
incongruent_pointer_middle,38,36,1,106,51.06,41.76,0.06,0.66,106,4996,Correct
incongruent_pointer_middle,38,37,1,106,83.95,56.64,0.09,0.89,106,1037,Correct
incongruent_pointer_middle,38,38,1,102,43.02,73.49,0.05,1.15,106,936,Incorrect
incongruent_pointer_middle,38,39,2,107,16.4,42.74,0.02,0.67,107,3570,Correct
incongruent_pointer_middle,38,40,2,107,44.67,61.69,0.05,0.97,107,2405,Correct
incongruent_pointer_middle,38,41,2,100,58.64,30.18,0.07,0.47,100,959,Correct
incongruent_pointer_middle,38,42,1,106,74.54,44.79,0.08,0.7,106,1184,Correct
incongruent_pointer_middle,38,43,1,106,77.35,49.66,0.09,0.78,106,1737,Correct
incongruent_pointer_middle,38,44,1,102,47.14,54.1,0.05,0.85,106,859,Incorrect
incongruent_pointer_middle,38,45,2,107,30.59,42.32,0.03,0.66,100,5739,Incorrect
incongruent_pointer_middle,38,46,2,107,42.63,49.61,0.05,0.78,107,1624,Correct
incongruent_pointer_middle,38,47,1,106,59.55,38.05,0.07,0.6,102,1365,Incorrect
incongruent_pointer_middle,38,48,1,102,51.62,59.26,0.06,0.93,106,1395,Incorrect
incongruent_pointer_middle,38,49,2,107,65.63,78.59,0.07,1.23,100,1125,Incorrect
incongruent_pointer_middle,38,50,1,106,64.81,52.87,0.07,0.83,106,1511,Correct
incongruent_pointer_middle,38,51,1,106,46.54,18.52,0.05,0.29,102,1325,Incorrect
incongruent_pointer_middle,38,52,2,107,49.49,58.1,0.06,0.91,107,3681,Correct
incongruent_pointer_middle,38,53,1,106,56.74,42.68,0.06,0.67,106,1322,Correct
incongruent_pointer_middle,38,54,1,106,45.76,27.18,0.05,0.43,102,1585,Incorrect
incongruent_pointer_middle,38,55,1,106,56.16,24.05,0.06,0.38,106,1528,Correct
incongruent_pointer_middle,38,56,2,107,12.82,39.28,0.01,0.62,100,3135,Incorrect
incongruent_pointer_middle,38,57,2,107,38.26,46.33,0.04,0.73,107,963,Correct
incongruent_pointer_middle,38,58,1,102,17.92,36.36,0.02,0.57,106,1132,Incorrect
incongruent_pointer_middle,38,59,1,106,37.54,19.52,0.04,0.31,106,4890,Correct
incongruent_pointer_middle,38,60,1,102,61.44,83.51,0.07,1.31,102,1021,Correct
incongruent_pointer_middle,38,61,2,107,17.03,43.33,0.02,0.68,107,2557,Correct
incongruent_pointer_middle,38,62,1,102,16.0,30.8,0.02,0.48,106,2325,Incorrect
incongruent_pointer_middle,38,63,2,107,13.56,40.83,0.02,0.64,107,2171,Correct
incongruent_pointer_middle,38,64,2,100,70.01,57.45,0.08,0.9,107,2926,Incorrect
incongruent_pointer_middle,38,65,2,107,36.25,49.85,0.04,0.78,107,2760,Correct
incongruent_pointer_middle,38,66,2,107,41.57,72.64,0.05,1.14,100,997,Incorrect
incongruent_pointer_middle,38,67,1,102,45.07,70.01,0.05,1.1,106,1872,Incorrect
incongruent_pointer_middle,38,68,2,107,21.2,41.61,0.02,0.65,107,1354,Correct
incongruent_pointer_middle,38,69,2,100,76.91,56.95,0.09,0.89,107,1438,Incorrect
incongruent_pointer_middle,38,70,1,106,36.4,24.32,0.04,0.38,106,3339,Correct
incongruent_pointer_middle,38,71,2,107,15.52,43.94,0.02,0.69,107,1044,Correct
incongruent_pointer_middle,38,72,1,106,36.99,14.33,0.04,0.23,106,1607,Correct
incongruent_pointer_middle,38,73,2,107,20.55,41.04,0.02,0.64,107,1180,Correct
incongruent_pointer_middle,38,74,1,102,45.24,57.04,0.05,0.9,106,803,Incorrect
incongruent_pointer_middle,38,75,1,106,72.17,59.63,0.08,0.94,102,1032,Incorrect
incongruent_pointer_middle,38,76,1,102,42.12,51.48,0.05,0.81,106,965,Incorrect
incongruent_pointer_middle,38,77,1,102,35.38,46.78,0.04,0.73,106,330,Incorrect
incongruent_pointer_middle,38,78,2,107,68.41,89.5,0.08,1.41,107,985,Correct
incongruent_pointer_middle,38,79,2,107,15.21,42.22,0.02,0.66,107,998,Correct
incongruent_pointer_middle,38,80,1,102,48.27,70.08,0.05,1.1,102,1978,Correct
incongruent_pointer_middle,38,81,1,102,18.75,45.37,0.02,0.71,102,3355,Correct
incongruent_pointer_middle,38,82,1,106,49.38,21.95,0.06,0.34,102,2687,Incorrect
incongruent_pointer_middle,38,83,1,106,67.85,50.19,0.08,0.79,106,2242,Correct
incongruent_pointer_middle,38,84,1,102,39.6,63.44,0.04,1.0,102,3299,Correct
incongruent_pointer_middle,38,85,1,106,56.13,23.83,0.06,0.37,102,1900,Incorrect
incongruent_pointer_middle,38,86,2,100,70.15,51.23,0.08,0.8,107,1748,Incorrect
incongruent_pointer_middle,38,87,1,106,75.47,59.77,0.08,0.94,102,1528,Incorrect
incongruent_pointer_middle,38,88,2,107,64.99,78.29,0.07,1.23,100,1417,Incorrect
incongruent_pointer_middle,38,89,1,102,46.87,77.24,0.05,1.21,106,4137,Incorrect
incongruent_pointer_middle,38,90,2,100,50.14,27.57,0.06,0.43,107,2177,Incorrect
incongruent_pointer_middle,38,91,2,107,23.99,35.32,0.03,0.55,107,1200,Correct
incongruent_pointer_middle,38,92,2,100,41.24,23.35,0.05,0.37,100,1658,Correct
incongruent_pointer_middle,38,93,1,106,70.72,49.41,0.08,0.78,106,3095,Correct
incongruent_pointer_middle,38,94,2,107,33.87,43.41,0.04,0.68,107,2285,Correct
incongruent_pointer_middle,38,95,2,100,61.99,42.51,0.07,0.67,107,3444,Incorrect
incongruent_pointer_middle,38,96,2,100,79.23,64.04,0.09,1.01,100,2565,Correct
incongruent_pointer_middle,38,97,2,100,81.02,66.44,0.09,1.04,100,965,Correct
incongruent_pointer_middle,38,98,2,107,32.83,63.75,0.04,1.0,107,1078,Correct
incongruent_pointer_middle,38,99,2,107,55.51,63.07,0.06,0.99,100,1240,Incorrect
incongruent_pointer_middle,38,100,2,100,37.92,24.08,0.04,0.38,107,1373,Incorrect
incongruent_pointer_middle,38,101,1,106,73.27,44.86,0.08,0.7,102,2291,Incorrect
incongruent_pointer_middle,38,102,2,100,77.01,60.42,0.09,0.95,100,2885,Correct
incongruent_pointer_middle,38,103,2,100,70.94,60.38,0.08,0.95,100,1118,Correct
incongruent_pointer_middle,38,104,1,102,69.0,85.83,0.08,1.35,106,1825,Incorrect
incongruent_pointer_middle,38,105,2,107,49.28,59.99,0.06,0.94,100,4542,Incorrect
incongruent_pointer_middle,38,106,2,100,48.32,26.54,0.05,0.42,107,2089,Incorrect
incongruent_pointer_middle,38,107,1,102,54.31,79.93,0.06,1.26,102,5344,Correct
incongruent_pointer_middle,38,108,2,107,46.12,58.04,0.05,0.91,107,5713,Correct
incongruent_pointer_middle,38,109,1,106,38.59,18.04,0.04,0.28,106,11824,Correct
incongruent_pointer_middle,38,110,2,107,24.2,35.51,0.03,0.56,107,863,Correct
incongruent_pointer_middle,38,111,2,100,41.37,18.78,0.05,0.29,107,2040,Incorrect
incongruent_pointer_middle,38,112,2,100,32.75,11.26,0.04,0.18,107,2219,Incorrect
incongruent_pointer_middle,38,113,1,106,77.01,53.48,0.09,0.84,102,4756,Incorrect
incongruent_pointer_middle,38,114,1,106,37.33,26.38,0.04,0.41,102,2565,Incorrect
incongruent_pointer_middle,38,115,2,107,24.91,54.7,0.03,0.86,107,1697,Correct
incongruent_pointer_middle,38,116,2,107,22.76,49.35,0.03,0.78,107,904,Correct
incongruent_pointer_middle,38,117,2,107,47.93,74.58,0.05,1.17,107,4561,Correct
incongruent_pointer_middle,38,118,2,100,73.68,46.3,0.08,0.73,100,3737,Correct
incongruent_pointer_middle,38,119,2,107,49.3,61.96,0.06,0.97,107,1205,Correct
incongruent_pointer_middle,38,120,1,102,49.54,61.5,0.06,0.97,102,3445,Correct
incongruent_pointer_middle,38,121,1,106,77.52,53.34,0.09,0.84,106,3179,Correct
incongruent_pointer_middle,38,122,1,102,53.05,80.94,0.06,1.27,102,1677,Correct
incongruent_pointer_middle,38,123,2,107,28.94,47.85,0.03,0.75,107,1008,Correct
incongruent_pointer_middle,38,124,2,100,75.72,55.13,0.08,0.87,100,2046,Correct
incongruent_pointer_middle,38,125,2,107,36.61,54.31,0.04,0.85,107,1661,Correct
incongruent_pointer_middle,38,126,2,107,12.51,31.45,0.01,0.49,107,4404,Correct
incongruent_pointer_middle,38,127,1,102,23.2,34.93,0.03,0.55,102,1428,Correct
incongruent_pointer_middle,38,128,1,102,51.07,69.8,0.06,1.1,102,2614,Correct
incongruent_pointer_middle,38,129,2,100,34.57,21.84,0.04,0.34,107,1492,Incorrect
incongruent_pointer_middle,38,130,2,100,39.32,21.52,0.04,0.34,100,715,Correct
incongruent_pointer_middle,38,131,1,106,40.2,12.53,0.04,0.2,106,4282,Correct
incongruent_pointer_middle,38,132,1,102,48.19,60.35,0.05,0.95,102,1437,Correct
incongruent_pointer_middle,38,133,2,100,56.38,38.97,0.06,0.61,100,1515,Correct
incongruent_pointer_middle,38,134,2,107,31.48,42.63,0.04,0.67,107,1215,Correct
incongruent_pointer_middle,38,135,1,102,30.39,48.23,0.03,0.76,102,1306,Correct
incongruent_pointer_middle,38,136,1,106,62.5,31.83,0.07,0.5,106,1790,Correct
incongruent_pointer_middle,38,137,2,107,19.19,46.17,0.02,0.73,107,1176,Correct
incongruent_pointer_middle,38,138,1,102,35.99,55.73,0.04,0.88,102,6432,Correct
incongruent_pointer_middle,38,139,1,106,68.37,45.47,0.08,0.71,106,2989,Correct
incongruent_pointer_middle,38,140,2,107,36.83,46.37,0.04,0.73,107,3754,Correct
incongruent_pointer_middle,38,141,2,100,51.65,41.09,0.06,0.65,100,3940,Correct
incongruent_pointer_middle,38,142,2,100,45.72,34.89,0.05,0.55,100,1656,Correct
incongruent_pointer_middle,38,143,2,100,35.89,21.88,0.04,0.34,107,896,Incorrect
incongruent_pointer_middle,38,144,2,100,79.89,56.49,0.09,0.89,107,1245,Incorrect
incongruent_pointer_middle,38,145,2,107,53.95,71.65,0.06,1.13,100,960,Incorrect
incongruent_pointer_middle,38,146,1,102,53.45,78.28,0.06,1.23,106,1334,Incorrect
incongruent_pointer_middle,38,147,2,100,69.01,38.24,0.08,0.6,100,1503,Correct
incongruent_pointer_middle,38,148,1,102,36.26,64.4,0.04,1.01,102,2983,Correct
incongruent_pointer_middle,38,149,2,107,25.59,47.98,0.03,0.75,107,1043,Correct
incongruent_pointer_middle,38,150,2,100,80.85,68.11,0.09,1.07,100,2046,Correct
incongruent_pointer_middle,38,151,2,100,40.37,12.98,0.05,0.2,100,4326,Correct
incongruent_pointer_middle,38,152,1,106,40.83,12.92,0.05,0.2,106,2659,Correct
incongruent_pointer_middle,38,153,1,102,39.0,46.14,0.04,0.72,102,1422,Correct
incongruent_pointer_middle,38,154,2,100,63.66,36.65,0.07,0.58,100,2395,Correct
incongruent_pointer_middle,38,155,2,107,64.25,83.02,0.07,1.3,100,1931,Incorrect
incongruent_pointer_middle,38,156,1,102,12.5,33.28,0.01,0.52,102,1144,Correct
incongruent_pointer_middle,38,157,1,102,52.61,71.79,0.06,1.13,102,6294,Correct
incongruent_pointer_middle,38,158,1,106,47.6,28.77,0.05,0.45,102,2609,Incorrect
incongruent_pointer_middle,38,159,2,107,26.21,42.89,0.03,0.67,107,4759,Correct
