condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,14,0,1,102,21.5,37.49,0.02,0.59,106,1438,Incorrect
incongruent_pointer_middle,14,1,1,102,50.04,80.93,0.06,1.27,106,3335,Incorrect
incongruent_pointer_middle,14,2,2,107,26.2,55.73,0.03,0.88,107,1575,Correct
incongruent_pointer_middle,14,3,2,100,82.56,63.13,0.09,0.99,100,1487,Correct
incongruent_pointer_middle,14,4,2,100,50.52,29.49,0.06,0.46,100,5544,Correct
incongruent_pointer_middle,14,5,2,100,44.33,36.64,0.05,0.58,107,3334,Incorrect
incongruent_pointer_middle,14,6,2,107,40.73,56.08,0.05,0.88,100,3761,Incorrect
incongruent_pointer_middle,14,7,1,102,53.18,73.82,0.06,1.16,102,4799,Correct
incongruent_pointer_middle,14,8,1,106,64.08,33.81,0.07,0.53,106,3575,Correct
incongruent_pointer_middle,14,9,1,102,19.14,37.85,0.02,0.59,102,3841,Correct
incongruent_pointer_middle,14,10,2,100,38.54,23.39,0.04,0.37,107,5301,Incorrect
incongruent_pointer_middle,14,11,1,106,73.1,44.19,0.08,0.69,102,7089,Incorrect
incongruent_pointer_middle,14,12,2,107,30.02,48.35,0.03,0.76,100,6157,Incorrect
incongruent_pointer_middle,14,13,1,106,70.58,57.45,0.08,0.9,106,1551,Correct
incongruent_pointer_middle,14,14,1,102,40.84,69.46,0.05,1.09,102,2876,Correct
incongruent_pointer_middle,14,15,1,106,33.86,11.27,0.04,0.18,106,4811,Correct
incongruent_pointer_middle,14,16,1,106,42.08,18.14,0.05,0.28,106,4183,Correct
incongruent_pointer_middle,14,17,1,106,56.81,46.38,0.06,0.73,106,1795,Correct
incongruent_pointer_middle,14,18,2,107,27.47,41.95,0.03,0.66,107,4776,Correct
incongruent_pointer_middle,14,19,1,106,75.21,64.02,0.08,1.01,102,4997,Incorrect
incongruent_pointer_middle,14,20,1,106,57.37,32.59,0.06,0.51,106,3301,Correct
incongruent_pointer_middle,14,21,2,107,17.75,32.24,0.02,0.51,100,2336,Incorrect
incongruent_pointer_middle,14,22,2,107,25.39,57.67,0.03,0.91,107,1721,Correct
incongruent_pointer_middle,14,23,2,100,65.96,48.8,0.07,0.77,100,1781,Correct
incongruent_pointer_middle,14,24,1,102,23.35,48.29,0.03,0.76,106,3005,Incorrect
incongruent_pointer_middle,14,25,1,106,57.93,26.76,0.06,0.42,106,4065,Correct
incongruent_pointer_middle,14,26,2,100,85.91,62.84,0.1,0.99,107,6002,Incorrect
incongruent_pointer_middle,14,27,2,107,63.94,75.41,0.07,1.18,107,2334,Correct
