condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,22,0,1,106,31.99,12.93,0.04,0.2,102,1161,Incorrect
incongruent_pointer_middle,22,1,1,106,79.02,58.21,0.09,0.91,102,1510,Incorrect
incongruent_pointer_middle,22,2,2,100,72.99,63.3,0.08,0.99,100,1335,Correct
incongruent_pointer_middle,22,3,2,100,44.82,26.12,0.05,0.41,100,1176,Correct
incongruent_pointer_middle,22,4,2,100,49.05,39.29,0.05,0.62,100,623,Correct
incongruent_pointer_middle,22,5,2,107,46.72,65.03,0.05,1.02,100,623,Incorrect
incongruent_pointer_middle,22,6,1,102,56.98,68.07,0.06,1.07,102,1167,Correct
incongruent_pointer_middle,22,7,2,107,18.43,41.84,0.02,0.66,107,792,Correct
incongruent_pointer_middle,22,8,1,106,58.43,41.51,0.07,0.65,102,937,Incorrect
incongruent_pointer_middle,22,9,1,106,58.27,50.54,0.07,0.79,106,735,Correct
incongruent_pointer_middle,22,10,2,100,48.94,38.27,0.05,0.6,100,1303,Correct
incongruent_pointer_middle,22,11,2,100,65.67,39.63,0.07,0.62,100,845,Correct
incongruent_pointer_middle,22,12,2,107,43.67,71.33,0.05,1.12,107,602,Correct
incongruent_pointer_middle,22,13,1,102,31.78,59.89,0.04,0.94,102,1214,Correct
incongruent_pointer_middle,22,14,2,100,34.48,17.55,0.04,0.28,107,1059,Incorrect
incongruent_pointer_middle,22,15,1,106,54.48,33.39,0.06,0.52,106,1033,Correct
incongruent_pointer_middle,22,16,2,100,51.65,39.9,0.06,0.63,100,1279,Correct
incongruent_pointer_middle,22,17,2,107,37.06,44.63,0.04,0.7,107,1837,Correct
incongruent_pointer_middle,22,18,2,100,69.37,41.14,0.08,0.65,100,1115,Correct
incongruent_pointer_middle,22,19,2,100,38.27,25.32,0.04,0.4,107,547,Incorrect
incongruent_pointer_middle,22,20,2,100,38.89,22.27,0.04,0.35,100,895,Correct
incongruent_pointer_middle,22,21,2,107,29.91,56.28,0.03,0.88,100,813,Incorrect
incongruent_pointer_middle,22,22,1,106,42.42,14.03,0.05,0.22,102,1152,Incorrect
incongruent_pointer_middle,22,23,1,102,29.71,40.47,0.03,0.64,102,1162,Correct
incongruent_pointer_middle,22,24,1,106,72.09,56.29,0.08,0.88,102,2297,Incorrect
incongruent_pointer_middle,22,25,1,106,58.57,29.21,0.07,0.46,106,863,Correct
incongruent_pointer_middle,22,26,2,100,70.82,54.94,0.08,0.86,100,410,Correct
incongruent_pointer_middle,22,27,2,100,79.34,50.66,0.09,0.8,100,524,Correct
incongruent_pointer_middle,22,28,1,106,76.9,48.79,0.09,0.77,106,1505,Correct
incongruent_pointer_middle,22,29,2,100,52.65,27.18,0.06,0.43,100,1425,Correct
incongruent_pointer_middle,22,30,1,102,35.06,55.64,0.04,0.87,102,2875,Correct
incongruent_pointer_middle,22,31,2,100,48.34,26.09,0.05,0.41,100,1181,Correct
incongruent_pointer_middle,22,32,2,100,48.98,36.58,0.05,0.57,107,1949,Incorrect
incongruent_pointer_middle,22,33,2,107,53.19,70.54,0.06,1.11,100,542,Incorrect
incongruent_pointer_middle,22,34,2,107,56.14,67.54,0.06,1.06,107,686,Correct
incongruent_pointer_middle,22,35,1,102,21.82,46.63,0.02,0.73,102,2046,Correct
incongruent_pointer_middle,22,36,1,106,62.81,48.15,0.07,0.76,106,618,Correct
incongruent_pointer_middle,22,37,1,106,64.6,38.32,0.07,0.6,102,925,Incorrect
incongruent_pointer_middle,22,38,2,107,20.61,40.93,0.02,0.64,107,721,Correct
incongruent_pointer_middle,22,39,1,102,38.93,48.24,0.04,0.76,106,1609,Incorrect
incongruent_pointer_middle,22,40,2,100,54.59,27.11,0.06,0.43,100,2122,Correct
incongruent_pointer_middle,22,41,1,106,50.52,37.8,0.06,0.59,106,2479,Correct
incongruent_pointer_middle,22,42,1,102,39.41,71.63,0.04,1.13,102,1050,Correct
incongruent_pointer_middle,22,43,1,102,26.52,55.04,0.03,0.86,102,1340,Correct
incongruent_pointer_middle,22,44,2,107,28.78,52.17,0.03,0.82,107,1338,Correct
incongruent_pointer_middle,22,45,2,107,46.5,64.17,0.05,1.01,100,916,Incorrect
incongruent_pointer_middle,22,46,2,100,60.92,30.81,0.07,0.48,107,657,Incorrect
incongruent_pointer_middle,22,47,2,107,42.04,71.7,0.05,1.13,107,995,Correct
incongruent_pointer_middle,22,48,2,107,54.19,78.69,0.06,1.24,107,713,Correct
incongruent_pointer_middle,22,49,2,100,45.08,17.21,0.05,0.27,100,750,Correct
incongruent_pointer_middle,22,50,2,100,63.19,36.76,0.07,0.58,100,654,Correct
incongruent_pointer_middle,22,51,1,106,78.81,59.68,0.09,0.94,106,1151,Correct
incongruent_pointer_middle,22,52,2,100,67.78,54.09,0.08,0.85,107,992,Incorrect
incongruent_pointer_middle,22,53,1,102,44.5,69.07,0.05,1.08,102,799,Correct
incongruent_pointer_middle,22,54,2,107,35.83,54.62,0.04,0.86,100,835,Incorrect
incongruent_pointer_middle,22,55,2,107,46.23,73.82,0.05,1.16,107,596,Correct
incongruent_pointer_middle,22,56,2,107,22.26,39.02,0.02,0.61,100,1390,Incorrect
incongruent_pointer_middle,22,57,2,100,56.39,44.65,0.06,0.7,107,677,Incorrect
incongruent_pointer_middle,22,58,1,102,41.08,70.16,0.05,1.1,102,779,Correct
incongruent_pointer_middle,22,59,2,100,75.8,51.87,0.08,0.81,107,754,Incorrect
incongruent_pointer_middle,22,60,2,100,54.34,34.84,0.06,0.55,100,1040,Correct
incongruent_pointer_middle,22,61,1,102,64.4,80.82,0.07,1.27,102,1838,Correct
incongruent_pointer_middle,22,62,1,102,26.85,40.13,0.03,0.63,106,450,Incorrect
incongruent_pointer_middle,22,63,2,107,33.95,48.23,0.04,0.76,100,740,Incorrect
incongruent_pointer_middle,22,64,2,100,47.14,31.77,0.05,0.5,107,775,Incorrect
incongruent_pointer_middle,22,65,1,102,63.65,81.51,0.07,1.28,102,892,Correct
incongruent_pointer_middle,22,66,2,100,58.16,40.53,0.07,0.64,107,1343,Incorrect
incongruent_pointer_middle,22,67,1,106,72.5,43.98,0.08,0.69,102,788,Incorrect
incongruent_pointer_middle,22,68,2,107,45.46,63.36,0.05,1.0,100,709,Incorrect
incongruent_pointer_middle,22,69,1,102,13.13,40.63,0.01,0.64,102,1086,Correct
incongruent_pointer_middle,22,70,1,102,52.62,82.77,0.06,1.3,106,1203,Incorrect
incongruent_pointer_middle,22,71,2,100,46.44,23.36,0.05,0.37,100,742,Correct
incongruent_pointer_middle,22,72,1,106,79.44,56.65,0.09,0.89,106,2070,Incorrect
incongruent_pointer_middle,22,73,1,106,68.02,49.53,0.08,0.78,106,1512,Correct
incongruent_pointer_middle,22,74,2,107,25.58,43.65,0.03,0.69,100,753,Incorrect
incongruent_pointer_middle,22,75,1,102,20.99,48.16,0.02,0.76,106,1431,Incorrect
incongruent_pointer_middle,22,76,1,106,55.91,26.11,0.06,0.41,102,777,Incorrect
incongruent_pointer_middle,22,77,2,107,61.55,70.9,0.07,1.11,107,1111,Correct
incongruent_pointer_middle,22,78,1,102,18.25,36.56,0.02,0.57,106,1141,Incorrect
incongruent_pointer_middle,22,79,1,102,42.38,58.34,0.05,0.92,106,1523,Incorrect
incongruent_pointer_middle,22,80,1,106,67.53,47.46,0.08,0.75,102,755,Incorrect
incongruent_pointer_middle,22,81,2,100,46.0,30.15,0.05,0.47,100,1191,Correct
incongruent_pointer_middle,22,82,1,102,39.18,50.86,0.04,0.8,102,4684,Correct
incongruent_pointer_middle,22,83,1,102,36.18,60.81,0.04,0.96,102,1166,Correct
incongruent_pointer_middle,22,84,2,107,30.42,44.21,0.03,0.69,100,697,Incorrect
incongruent_pointer_middle,22,85,1,102,37.48,46.08,0.04,0.72,102,1384,Correct
incongruent_pointer_middle,22,86,2,107,53.33,68.86,0.06,1.08,107,976,Correct
incongruent_pointer_middle,22,87,2,100,86.37,69.0,0.1,1.08,107,1065,Incorrect
incongruent_pointer_middle,22,88,1,102,30.28,54.12,0.03,0.85,106,1568,Incorrect
incongruent_pointer_middle,22,89,2,107,12.06,33.7,0.01,0.53,100,2269,Incorrect
incongruent_pointer_middle,22,90,2,107,23.28,51.8,0.03,0.81,107,779,Correct
incongruent_pointer_middle,22,91,1,102,12.73,40.55,0.01,0.64,102,1682,Correct
incongruent_pointer_middle,22,92,2,100,64.17,41.11,0.07,0.65,107,1387,Incorrect
incongruent_pointer_middle,22,93,2,107,28.32,47.39,0.03,0.74,100,786,Incorrect
incongruent_pointer_middle,22,94,1,102,30.89,61.41,0.03,0.96,106,1962,Incorrect
incongruent_pointer_middle,22,95,1,102,56.95,66.83,0.06,1.05,102,1420,Correct
incongruent_pointer_middle,22,96,2,107,14.74,40.59,0.02,0.64,100,1134,Incorrect
incongruent_pointer_middle,22,97,2,107,41.91,50.42,0.05,0.79,107,1598,Correct
incongruent_pointer_middle,22,98,2,107,63.74,76.07,0.07,1.19,100,832,Incorrect
incongruent_pointer_middle,22,99,1,102,13.51,36.96,0.02,0.58,102,1876,Correct
incongruent_pointer_middle,22,100,1,102,48.68,64.43,0.05,1.01,106,3110,Incorrect
incongruent_pointer_middle,22,101,2,100,41.67,18.01,0.05,0.28,107,938,Incorrect
incongruent_pointer_middle,22,102,1,106,50.96,37.13,0.06,0.58,102,2353,Incorrect
incongruent_pointer_middle,22,103,1,106,32.39,10.65,0.04,0.17,102,1426,Incorrect
incongruent_pointer_middle,22,104,2,100,74.62,48.64,0.08,0.76,100,767,Correct
incongruent_pointer_middle,22,105,1,102,21.76,33.21,0.02,0.52,102,1487,Correct
incongruent_pointer_middle,22,106,1,106,33.8,10.31,0.04,0.16,102,1490,Incorrect
incongruent_pointer_middle,22,107,1,106,33.44,10.89,0.04,0.17,106,629,Correct
incongruent_pointer_middle,22,108,2,100,67.21,35.97,0.08,0.56,100,1072,Correct
incongruent_pointer_middle,22,109,2,107,46.3,53.47,0.05,0.84,107,659,Correct
incongruent_pointer_middle,22,110,1,106,71.72,59.17,0.08,0.93,106,1707,Correct
incongruent_pointer_middle,22,111,2,107,40.55,62.79,0.05,0.99,107,1103,Correct
incongruent_pointer_middle,22,112,2,100,59.6,33.5,0.07,0.53,100,837,Correct
incongruent_pointer_middle,22,113,2,100,76.1,48.97,0.09,0.77,100,923,Correct
incongruent_pointer_middle,22,114,2,107,66.42,83.59,0.07,1.31,107,806,Correct
incongruent_pointer_middle,22,115,2,107,68.93,82.69,0.08,1.3,107,818,Correct
incongruent_pointer_middle,22,116,1,102,18.88,42.56,0.02,0.67,102,1213,Correct
incongruent_pointer_middle,22,117,2,107,16.93,46.21,0.02,0.73,100,927,Incorrect
incongruent_pointer_middle,22,118,2,107,59.16,83.77,0.07,1.32,107,828,Correct
incongruent_pointer_middle,22,119,2,107,46.13,54.68,0.05,0.86,100,2632,Incorrect
incongruent_pointer_middle,22,120,2,100,62.38,33.5,0.07,0.53,107,691,Incorrect
incongruent_pointer_middle,22,121,1,102,48.64,71.41,0.05,1.12,106,1245,Incorrect
incongruent_pointer_middle,22,122,2,100,55.25,28.91,0.06,0.45,100,733,Correct
incongruent_pointer_middle,22,123,2,100,54.59,46.59,0.06,0.73,100,846,Correct
incongruent_pointer_middle,22,124,2,100,60.63,46.15,0.07,0.72,100,392,Correct
incongruent_pointer_middle,22,125,1,106,69.25,39.71,0.08,0.62,102,1028,Incorrect
incongruent_pointer_middle,22,126,1,102,22.59,48.23,0.03,0.76,102,1306,Correct
incongruent_pointer_middle,22,127,1,102,23.99,54.95,0.03,0.86,102,873,Correct
incongruent_pointer_middle,22,128,2,100,58.37,46.34,0.07,0.73,100,529,Correct
incongruent_pointer_middle,22,129,1,102,28.08,49.3,0.03,0.77,106,838,Incorrect
incongruent_pointer_middle,22,130,1,102,21.87,37.56,0.02,0.59,102,610,Correct
incongruent_pointer_middle,22,131,2,100,58.79,34.75,0.07,0.55,100,577,Correct
incongruent_pointer_middle,22,132,2,107,28.76,49.3,0.03,0.77,100,763,Incorrect
incongruent_pointer_middle,22,133,2,100,71.46,39.32,0.08,0.62,100,1132,Correct
incongruent_pointer_middle,22,134,2,100,61.85,30.47,0.07,0.48,100,1104,Correct
incongruent_pointer_middle,22,135,2,100,37.74,23.39,0.04,0.37,100,499,Correct
incongruent_pointer_middle,22,136,1,102,30.8,42.71,0.03,0.67,102,404,Correct
incongruent_pointer_middle,22,137,1,106,47.44,25.34,0.05,0.4,102,1422,Incorrect
incongruent_pointer_middle,22,138,1,102,31.77,48.33,0.04,0.76,102,484,Correct
incongruent_pointer_middle,22,139,2,107,39.39,56.79,0.04,0.89,100,1139,Incorrect
incongruent_pointer_middle,22,140,1,106,69.2,43.17,0.08,0.68,106,602,Correct
incongruent_pointer_middle,22,141,2,107,67.86,87.16,0.08,1.37,107,1199,Correct
incongruent_pointer_middle,22,142,2,100,51.54,21.99,0.06,0.35,100,443,Correct
incongruent_pointer_middle,22,143,1,102,66.44,86.32,0.07,1.36,106,787,Incorrect
incongruent_pointer_middle,22,144,1,106,47.26,36.0,0.05,0.57,106,1091,Correct
incongruent_pointer_middle,22,145,1,102,41.33,50.27,0.05,0.79,102,606,Correct
