condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pointer_middle,13,0,1,102,32.89,61.15,0.04,0.96,102,2771,Correct
congruent_pointer_middle,13,1,1,106,86.1,59.52,0.1,0.93,106,1093,Correct
congruent_pointer_middle,13,2,1,102,53.22,73.86,0.06,1.16,106,3110,Incorrect
congruent_pointer_middle,13,3,2,100,56.88,72.99,0.06,1.15,107,1206,Incorrect
congruent_pointer_middle,13,4,2,100,32.46,63.58,0.04,1.0,100,866,Correct
congruent_pointer_middle,13,5,1,102,58.02,82.14,0.06,1.29,102,1754,Correct
congruent_pointer_middle,13,6,2,107,51.9,27.17,0.06,0.43,107,1587,Correct
congruent_pointer_middle,13,7,1,106,62.46,43.31,0.07,0.68,106,1015,Correct
congruent_pointer_middle,13,8,2,100,41.86,53.44,0.05,0.84,100,3901,Correct
congruent_pointer_middle,13,9,2,107,41.73,20.49,0.05,0.32,107,1057,Correct
congruent_pointer_middle,13,10,1,102,38.52,58.37,0.04,0.92,106,2898,Incorrect
congruent_pointer_middle,13,11,2,100,62.54,85.07,0.07,1.34,100,2586,Correct
congruent_pointer_middle,13,12,2,100,13.77,32.33,0.02,0.51,107,750,Incorrect
congruent_pointer_middle,13,13,1,106,61.68,30.61,0.07,0.48,106,1954,Correct
congruent_pointer_middle,13,14,2,107,52.49,44.94,0.06,0.71,107,1785,Correct
congruent_pointer_middle,13,15,1,106,66.05,47.12,0.07,0.74,106,1221,Correct
congruent_pointer_middle,13,16,1,102,46.42,61.96,0.05,0.97,102,4112,Correct
congruent_pointer_middle,13,17,1,102,13.81,42.41,0.02,0.67,102,2133,Correct
congruent_pointer_middle,13,18,2,107,61.23,31.38,0.07,0.49,107,1598,Correct
congruent_pointer_middle,13,19,2,100,18.28,44.12,0.02,0.69,100,1853,Correct
congruent_pointer_middle,13,20,1,102,26.4,39.58,0.03,0.62,102,4077,Correct
congruent_pointer_middle,13,21,1,106,35.84,18.81,0.04,0.3,102,4376,Incorrect
congruent_pointer_middle,13,22,2,100,61.66,73.74,0.07,1.16,107,1468,Incorrect
congruent_pointer_middle,13,23,1,106,49.35,39.24,0.06,0.62,102,1470,Incorrect
