condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pointer_middle,29,0,2,107,40.06,30.94,0.04,0.49,107,3967,Incorrect
congruent_pointer_middle,29,1,2,107,40.93,23.49,0.05,0.37,107,1858,Correct
congruent_pointer_middle,29,2,1,102,32.66,53.75,0.04,0.84,106,1388,Incorrect
congruent_pointer_middle,29,3,1,106,48.26,20.9,0.05,0.33,102,2196,Incorrect
congruent_pointer_middle,29,4,2,107,83.22,62.09,0.09,0.98,100,3217,Incorrect
congruent_pointer_middle,29,5,2,107,88.69,63.6,0.1,1.0,107,1265,Correct
congruent_pointer_middle,29,6,2,100,50.58,65.26,0.06,1.03,107,1376,Incorrect
congruent_pointer_middle,29,7,2,100,64.86,87.81,0.07,1.38,100,1323,Correct
congruent_pointer_middle,29,8,2,107,67.55,56.19,0.08,0.88,100,1436,Incorrect
congruent_pointer_middle,29,9,2,107,61.26,48.78,0.07,0.77,107,734,Correct
congruent_pointer_middle,29,10,2,107,63.77,43.09,0.07,0.68,107,746,Correct
congruent_pointer_middle,29,11,2,107,56.59,39.14,0.06,0.61,107,833,Correct
congruent_pointer_middle,29,12,2,100,40.24,61.39,0.05,0.96,107,672,Incorrect
congruent_pointer_middle,29,13,2,100,36.84,61.45,0.04,0.97,100,523,Correct
congruent_pointer_middle,29,14,2,100,38.26,60.79,0.04,0.95,100,1132,Correct
congruent_pointer_middle,29,15,1,106,47.78,36.64,0.05,0.58,106,986,Correct
congruent_pointer_middle,29,16,1,102,62.65,86.2,0.07,1.35,106,2535,Incorrect
congruent_pointer_middle,29,17,1,106,34.4,22.48,0.04,0.35,106,1307,Correct
congruent_pointer_middle,29,18,2,100,35.28,67.1,0.04,1.05,107,1661,Incorrect
congruent_pointer_middle,29,19,1,102,50.38,65.19,0.06,1.02,106,4834,Incorrect
congruent_pointer_middle,29,20,1,106,78.62,59.89,0.09,0.94,102,861,Incorrect
congruent_pointer_middle,29,21,2,107,42.38,29.64,0.05,0.47,107,3258,Correct
congruent_pointer_middle,29,22,1,106,63.91,52.36,0.07,0.82,102,1154,Incorrect
congruent_pointer_middle,29,23,1,102,23.46,48.19,0.03,0.76,102,2588,Correct
congruent_pointer_middle,29,24,2,107,83.41,55.22,0.09,0.87,100,1709,Incorrect
congruent_pointer_middle,29,25,1,102,40.25,48.9,0.05,0.77,106,1074,Incorrect
congruent_pointer_middle,29,26,1,106,88.06,64.71,0.1,1.02,102,2616,Incorrect
congruent_pointer_middle,29,27,1,106,34.87,15.76,0.04,0.25,102,2139,Incorrect
congruent_pointer_middle,29,28,2,100,56.55,68.8,0.06,1.08,100,1152,Correct
congruent_pointer_middle,29,29,1,102,44.84,59.15,0.05,0.93,106,897,Incorrect
congruent_pointer_middle,29,30,2,107,76.61,56.07,0.09,0.88,100,1108,Incorrect
congruent_pointer_middle,29,31,1,102,45.62,63.67,0.05,1.0,106,1787,Incorrect
congruent_pointer_middle,29,32,1,102,51.34,70.64,0.06,1.11,102,816,Correct
congruent_pointer_middle,29,33,2,107,74.82,48.46,0.08,0.76,100,1170,Incorrect
congruent_pointer_middle,29,34,2,107,60.68,42.62,0.07,0.67,107,2105,Correct
congruent_pointer_middle,29,35,1,106,59.02,33.2,0.07,0.52,106,2127,Correct
congruent_pointer_middle,29,36,2,107,36.0,13.87,0.04,0.22,100,2101,Incorrect
congruent_pointer_middle,29,37,1,106,81.79,61.82,0.09,0.97,102,2297,Incorrect
congruent_pointer_middle,29,38,2,107,42.38,32.84,0.05,0.52,107,3027,Correct
congruent_pointer_middle,29,39,2,107,57.98,26.65,0.06,0.42,107,1935,Correct
congruent_pointer_middle,29,40,2,107,60.93,51.17,0.07,0.8,107,1112,Correct
congruent_pointer_middle,29,41,2,100,40.34,66.66,0.05,1.05,107,909,Incorrect
congruent_pointer_middle,29,42,2,100,21.41,44.57,0.02,0.7,100,2419,Correct
congruent_pointer_middle,29,43,2,100,22.46,36.04,0.03,0.57,100,781,Correct
congruent_pointer_middle,29,44,2,107,67.51,39.2,0.08,0.62,107,2410,Correct
congruent_pointer_middle,29,45,2,107,67.65,58.98,0.08,0.93,107,841,Correct
congruent_pointer_middle,29,46,2,107,84.51,56.64,0.09,0.89,107,581,Correct
congruent_pointer_middle,29,47,2,100,45.09,55.69,0.05,0.87,100,1836,Correct
congruent_pointer_middle,29,48,1,106,40.28,23.75,0.05,0.37,106,740,Correct
congruent_pointer_middle,29,49,2,107,57.05,43.72,0.06,0.69,100,1123,Incorrect
congruent_pointer_middle,29,50,1,102,51.98,82.11,0.06,1.29,106,689,Incorrect
congruent_pointer_middle,29,51,1,106,49.56,19.99,0.06,0.31,102,1076,Incorrect
congruent_pointer_middle,29,52,2,107,49.5,27.88,0.06,0.44,107,1894,Correct
congruent_pointer_middle,29,53,2,100,28.3,42.87,0.03,0.67,100,1341,Correct
congruent_pointer_middle,29,54,2,107,51.38,24.84,0.06,0.39,107,731,Correct
congruent_pointer_middle,29,55,2,100,39.57,50.91,0.04,0.8,100,897,Correct
congruent_pointer_middle,29,56,1,106,61.53,31.6,0.07,0.5,106,694,Correct
congruent_pointer_middle,29,57,1,102,38.41,68.23,0.04,1.07,106,1015,Incorrect
congruent_pointer_middle,29,58,2,100,38.1,68.4,0.04,1.07,100,684,Correct
congruent_pointer_middle,29,59,1,106,50.45,28.93,0.06,0.45,102,702,Incorrect
congruent_pointer_middle,29,60,2,107,79.12,63.8,0.09,1.0,100,753,Incorrect
congruent_pointer_middle,29,61,1,102,40.53,56.24,0.05,0.88,106,1746,Incorrect
congruent_pointer_middle,29,62,1,102,64.18,80.73,0.07,1.27,102,1158,Correct
congruent_pointer_middle,29,63,2,100,45.85,61.34,0.05,0.96,107,1799,Incorrect
congruent_pointer_middle,29,64,2,107,66.32,57.66,0.07,0.91,100,1546,Incorrect
congruent_pointer_middle,29,65,2,100,61.84,83.21,0.07,1.31,107,727,Incorrect
congruent_pointer_middle,29,66,2,100,63.37,80.56,0.07,1.27,100,1593,Correct
congruent_pointer_middle,29,67,1,106,66.16,51.49,0.07,0.81,102,1891,Incorrect
congruent_pointer_middle,29,68,2,100,21.07,35.62,0.02,0.56,100,1130,Correct
congruent_pointer_middle,29,69,1,102,57.18,77.15,0.06,1.21,106,1287,Incorrect
congruent_pointer_middle,29,70,1,102,53.47,74.31,0.06,1.17,102,826,Correct
congruent_pointer_middle,29,71,2,107,68.68,40.51,0.08,0.64,100,837,Incorrect
congruent_pointer_middle,29,72,1,102,60.81,83.49,0.07,1.31,106,711,Incorrect
congruent_pointer_middle,29,73,1,102,42.76,59.29,0.05,0.93,102,780,Correct
congruent_pointer_middle,29,74,1,102,67.1,83.82,0.08,1.32,106,1470,Incorrect
congruent_pointer_middle,29,75,2,107,68.47,51.55,0.08,0.81,107,1075,Correct
congruent_pointer_middle,29,76,2,100,57.41,66.07,0.06,1.04,100,1246,Correct
congruent_pointer_middle,29,77,2,100,29.66,57.77,0.03,0.91,107,3530,Incorrect
congruent_pointer_middle,29,78,2,100,24.08,36.12,0.03,0.57,107,977,Incorrect
congruent_pointer_middle,29,79,1,102,49.0,75.84,0.05,1.19,106,1779,Incorrect
congruent_pointer_middle,29,80,2,100,20.5,51.84,0.02,0.81,100,777,Correct
congruent_pointer_middle,29,81,1,106,60.11,28.82,0.07,0.45,102,1889,Incorrect
congruent_pointer_middle,29,82,1,102,24.61,52.49,0.03,0.82,106,2012,Incorrect
congruent_pointer_middle,29,83,1,102,56.09,64.85,0.06,1.02,102,775,Correct
congruent_pointer_middle,29,84,1,102,39.77,52.66,0.04,0.83,106,691,Incorrect
congruent_pointer_middle,29,85,2,107,55.83,42.66,0.06,0.67,100,663,Incorrect
congruent_pointer_middle,29,86,1,106,63.05,36.98,0.07,0.58,106,655,Correct
congruent_pointer_middle,29,87,2,100,57.59,81.86,0.06,1.29,107,1447,Incorrect
congruent_pointer_middle,29,88,2,107,46.96,39.55,0.05,0.62,100,778,Incorrect
congruent_pointer_middle,29,89,2,107,87.62,68.62,0.1,1.08,107,1853,Correct
congruent_pointer_middle,29,90,1,102,68.57,85.85,0.08,1.35,106,3059,Incorrect
congruent_pointer_middle,29,91,1,102,20.66,35.59,0.02,0.56,106,2503,Incorrect
congruent_pointer_middle,29,92,2,100,32.71,58.51,0.04,0.92,100,2033,Correct
congruent_pointer_middle,29,93,1,102,12.44,38.33,0.01,0.6,102,1039,Correct
congruent_pointer_middle,29,94,1,102,21.42,49.16,0.02,0.77,102,515,Correct
congruent_pointer_middle,29,95,1,106,88.02,64.98,0.1,1.02,106,899,Correct
congruent_pointer_middle,29,96,1,102,26.45,43.05,0.03,0.68,102,696,Correct
congruent_pointer_middle,29,97,1,102,18.55,32.99,0.02,0.52,102,636,Correct
congruent_pointer_middle,29,98,1,102,27.26,59.6,0.03,0.94,102,727,Correct
congruent_pointer_middle,29,99,1,102,64.58,84.17,0.07,1.32,106,842,Incorrect
congruent_pointer_middle,29,100,2,100,32.18,49.07,0.04,0.77,107,1643,Incorrect
congruent_pointer_middle,29,101,2,100,46.52,66.32,0.05,1.04,100,1915,Correct
congruent_pointer_middle,29,102,1,106,71.52,53.35,0.08,0.84,106,2354,Correct
congruent_pointer_middle,29,103,1,106,58.06,44.21,0.06,0.69,106,1044,Correct
congruent_pointer_middle,29,104,1,106,36.44,15.19,0.04,0.24,102,682,Incorrect
congruent_pointer_middle,29,105,1,102,21.32,35.8,0.02,0.56,106,742,Incorrect
congruent_pointer_middle,29,106,1,106,71.23,49.59,0.08,0.78,102,2699,Incorrect
congruent_pointer_middle,29,107,1,106,41.56,15.03,0.05,0.24,106,779,Correct
congruent_pointer_middle,29,108,2,107,55.93,31.87,0.06,0.5,100,3329,Incorrect
congruent_pointer_middle,29,109,1,102,22.77,52.5,0.03,0.82,102,848,Correct
congruent_pointer_middle,29,110,2,107,32.95,17.1,0.04,0.27,100,844,Incorrect
congruent_pointer_middle,29,111,2,107,50.47,28.83,0.06,0.45,107,1080,Correct
congruent_pointer_middle,29,112,2,107,75.94,65.25,0.08,1.02,100,853,Incorrect
congruent_pointer_middle,29,113,2,100,45.24,63.17,0.05,0.99,100,1704,Correct
congruent_pointer_middle,29,114,1,102,61.81,82.29,0.07,1.29,102,1275,Correct
congruent_pointer_middle,29,115,1,106,57.63,29.46,0.06,0.46,106,2092,Correct
congruent_pointer_middle,29,116,1,106,66.1,42.62,0.07,0.67,106,1725,Correct
congruent_pointer_middle,29,117,1,102,37.69,68.88,0.04,1.08,106,2498,Incorrect
congruent_pointer_middle,29,118,2,100,34.78,49.05,0.04,0.77,100,2052,Correct
congruent_pointer_middle,29,119,2,100,55.03,75.68,0.06,1.19,107,1295,Incorrect
congruent_pointer_middle,29,120,1,106,37.73,11.34,0.04,0.18,106,4470,Correct
