condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pinky_thumb,36,0,1,99,54.86,77.92,0.06,1.22,99,2740,Correct
incongruent_pinky_thumb,36,1,1,109,37.44,18.09,0.04,0.28,109,1759,Correct
incongruent_pinky_thumb,36,2,2,112,44.97,69.8,0.05,1.1,112,3385,Correct
incongruent_pinky_thumb,36,3,1,99,44.3,76.31,0.05,1.2,99,2111,Correct
incongruent_pinky_thumb,36,4,1,109,45.4,38.22,0.05,0.6,109,1881,Correct
incongruent_pinky_thumb,36,5,1,99,42.32,59.4,0.05,0.93,109,1704,Incorrect
incongruent_pinky_thumb,36,6,2,113,46.95,25.86,0.05,0.41,112,2841,Incorrect
incongruent_pinky_thumb,36,7,1,99,39.33,60.03,0.04,0.94,99,2010,Correct
incongruent_pinky_thumb,36,8,2,113,60.68,42.74,0.07,0.67,112,2890,Incorrect
incongruent_pinky_thumb,36,9,1,109,30.94,10.68,0.03,0.17,109,3361,Correct
incongruent_pinky_thumb,36,10,1,109,42.84,27.63,0.05,0.43,99,1316,Incorrect
incongruent_pinky_thumb,36,11,1,109,69.04,38.84,0.08,0.61,109,1953,Correct
incongruent_pinky_thumb,36,12,1,109,79.51,57.53,0.09,0.9,109,1285,Correct
incongruent_pinky_thumb,36,13,1,99,65.06,86.67,0.07,1.36,109,3212,Incorrect
incongruent_pinky_thumb,36,14,1,109,76.13,52.32,0.09,0.82,99,1455,Incorrect
incongruent_pinky_thumb,36,15,2,112,21.02,49.75,0.02,0.78,112,3269,Correct
incongruent_pinky_thumb,36,16,2,112,34.14,44.94,0.04,0.71,112,1589,Correct
incongruent_pinky_thumb,36,17,2,112,53.41,74.9,0.06,1.18,113,1023,Incorrect
incongruent_pinky_thumb,36,18,2,112,26.63,37.2,0.03,0.58,112,1270,Correct
incongruent_pinky_thumb,36,19,2,112,33.66,61.34,0.04,0.96,112,3504,Correct
incongruent_pinky_thumb,36,20,1,99,11.46,30.99,0.01,0.49,109,7053,Incorrect
incongruent_pinky_thumb,36,21,2,112,32.29,50.0,0.04,0.79,112,4588,Correct
incongruent_pinky_thumb,36,22,2,113,40.0,20.77,0.04,0.33,113,2579,Correct
