condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pinky_thumb,20,0,1,99,66.58,78.82,0.07,1.24,99,2637,Correct
incongruent_pinky_thumb,20,1,2,113,54.51,31.31,0.06,0.49,112,2672,Incorrect
incongruent_pinky_thumb,20,2,2,112,34.72,44.42,0.04,0.7,112,2252,Correct
incongruent_pinky_thumb,20,3,1,99,46.47,54.1,0.05,0.85,109,1481,Incorrect
incongruent_pinky_thumb,20,4,2,112,55.73,72.28,0.06,1.14,112,1468,Correct
incongruent_pinky_thumb,20,5,1,109,34.1,20.03,0.04,0.31,99,1582,Incorrect
incongruent_pinky_thumb,20,6,1,109,48.2,39.3,0.05,0.62,109,1604,Correct
incongruent_pinky_thumb,20,7,1,109,33.16,12.91,0.04,0.2,99,1465,Incorrect
incongruent_pinky_thumb,20,8,1,99,37.7,66.43,0.04,1.04,99,1544,Correct
incongruent_pinky_thumb,20,9,2,113,32.26,11.79,0.04,0.19,112,1825,Incorrect
incongruent_pinky_thumb,20,10,2,112,46.6,63.21,0.05,0.99,113,1366,Incorrect
incongruent_pinky_thumb,20,11,2,113,35.14,14.97,0.04,0.24,112,1167,Incorrect
incongruent_pinky_thumb,20,12,1,109,50.58,38.05,0.06,0.6,109,1020,Correct
incongruent_pinky_thumb,20,13,2,113,43.43,23.07,0.05,0.36,112,1185,Incorrect
incongruent_pinky_thumb,20,14,2,113,39.21,29.83,0.04,0.47,113,1479,Correct
incongruent_pinky_thumb,20,15,1,109,34.77,10.35,0.04,0.16,109,1203,Correct
incongruent_pinky_thumb,20,16,1,109,73.75,58.12,0.08,0.91,99,795,Incorrect
incongruent_pinky_thumb,20,17,1,99,11.56,33.86,0.01,0.53,109,2051,Incorrect
incongruent_pinky_thumb,20,18,2,113,83.35,57.76,0.09,0.91,112,1529,Incorrect
incongruent_pinky_thumb,20,19,1,109,59.99,48.5,0.07,0.76,109,1870,Correct
incongruent_pinky_thumb,20,20,1,109,67.93,44.67,0.08,0.7,109,1650,Correct
incongruent_pinky_thumb,20,21,2,113,48.7,28.87,0.05,0.45,112,1156,Incorrect
incongruent_pinky_thumb,20,22,2,112,26.36,52.58,0.03,0.83,113,1335,Incorrect
incongruent_pinky_thumb,20,23,1,99,53.12,75.67,0.06,1.19,109,1616,Incorrect
incongruent_pinky_thumb,20,24,2,113,42.19,28.76,0.05,0.45,112,823,Incorrect
incongruent_pinky_thumb,20,25,1,99,46.52,57.13,0.05,0.9,109,1935,Incorrect
incongruent_pinky_thumb,20,26,1,99,30.23,39.93,0.03,0.63,109,1449,Incorrect
incongruent_pinky_thumb,20,27,2,113,63.25,42.24,0.07,0.66,112,1466,Incorrect
incongruent_pinky_thumb,20,28,2,112,44.23,69.07,0.05,1.09,112,1474,Correct
incongruent_pinky_thumb,20,29,2,112,44.98,57.3,0.05,0.9,112,834,Correct
incongruent_pinky_thumb,20,30,2,113,47.6,31.9,0.05,0.5,113,902,Correct
incongruent_pinky_thumb,20,31,1,109,45.21,29.09,0.05,0.46,109,1227,Correct
incongruent_pinky_thumb,20,32,1,109,36.01,16.04,0.04,0.25,109,1570,Correct
incongruent_pinky_thumb,20,33,1,99,55.91,83.89,0.06,1.32,99,1662,Correct
incongruent_pinky_thumb,20,34,1,109,48.15,26.55,0.05,0.42,109,849,Correct
incongruent_pinky_thumb,20,35,2,112,42.86,51.89,0.05,0.82,113,1020,Incorrect
incongruent_pinky_thumb,20,36,2,112,33.14,58.71,0.04,0.92,112,2105,Correct
incongruent_pinky_thumb,20,37,1,99,50.87,80.27,0.06,1.26,99,1003,Correct
incongruent_pinky_thumb,20,38,2,112,40.52,68.33,0.05,1.07,112,634,Correct
incongruent_pinky_thumb,20,39,1,109,61.64,36.46,0.07,0.57,109,2099,Correct
incongruent_pinky_thumb,20,40,1,99,19.18,39.22,0.02,0.62,109,2118,Incorrect
incongruent_pinky_thumb,20,41,1,109,48.89,29.17,0.05,0.46,109,1220,Correct
incongruent_pinky_thumb,20,42,1,99,55.91,66.39,0.06,1.04,99,1471,Correct
incongruent_pinky_thumb,20,43,1,99,43.48,51.01,0.05,0.8,99,713,Correct
incongruent_pinky_thumb,20,44,2,113,81.26,53.08,0.09,0.83,113,2322,Correct
incongruent_pinky_thumb,20,45,1,99,60.09,84.44,0.07,1.33,99,1283,Correct
incongruent_pinky_thumb,20,46,1,99,57.28,83.46,0.06,1.31,99,743,Correct
incongruent_pinky_thumb,20,47,1,99,66.03,88.08,0.07,1.38,99,647,Correct
incongruent_pinky_thumb,20,48,1,99,20.6,35.94,0.02,0.56,99,1189,Correct
incongruent_pinky_thumb,20,49,1,99,45.54,56.77,0.05,0.89,99,2096,Correct
incongruent_pinky_thumb,20,50,2,113,44.8,37.52,0.05,0.59,113,1712,Correct
incongruent_pinky_thumb,20,51,1,99,39.22,60.53,0.04,0.95,99,1896,Correct
incongruent_pinky_thumb,20,52,1,99,56.96,81.16,0.06,1.27,99,987,Correct
incongruent_pinky_thumb,20,53,2,112,17.98,46.84,0.02,0.74,113,1297,Incorrect
incongruent_pinky_thumb,20,54,2,113,37.18,18.0,0.04,0.28,112,3073,Incorrect
