condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pinky_thumb,24,0,2,113,43.85,30.24,0.05,0.48,113,3648,Correct
incongruent_pinky_thumb,24,1,1,109,74.01,62.07,0.08,0.98,99,1414,Incorrect
incongruent_pinky_thumb,24,2,2,112,41.62,63.88,0.05,1.0,113,5847,Incorrect
incongruent_pinky_thumb,24,3,2,113,70.8,55.51,0.08,0.87,113,2338,Correct
incongruent_pinky_thumb,24,4,2,112,40.28,51.56,0.05,0.81,112,1272,Correct
incongruent_pinky_thumb,24,5,1,99,36.14,52.96,0.04,0.83,109,1186,Incorrect
incongruent_pinky_thumb,24,6,1,99,13.1,35.87,0.01,0.56,109,3754,Incorrect
incongruent_pinky_thumb,24,7,2,113,79.6,57.82,0.09,0.91,112,1566,Incorrect
incongruent_pinky_thumb,24,8,2,112,48.69,77.07,0.05,1.21,113,2658,Incorrect
incongruent_pinky_thumb,24,9,1,99,49.38,79.48,0.06,1.25,109,2595,Incorrect
incongruent_pinky_thumb,24,10,1,109,78.81,52.49,0.09,0.82,109,5159,Correct
incongruent_pinky_thumb,24,11,2,112,59.13,85.44,0.07,1.34,113,2234,Incorrect
incongruent_pinky_thumb,24,12,1,99,55.41,64.1,0.06,1.01,109,4315,Incorrect
incongruent_pinky_thumb,24,13,2,112,17.12,35.39,0.02,0.56,112,1335,Correct
incongruent_pinky_thumb,24,14,2,112,39.2,63.73,0.04,1.0,113,926,Incorrect
incongruent_pinky_thumb,24,15,2,113,39.57,23.94,0.04,0.38,112,1973,Incorrect
incongruent_pinky_thumb,24,16,2,112,49.93,69.11,0.06,1.09,113,767,Incorrect
incongruent_pinky_thumb,24,17,2,113,63.5,51.76,0.07,0.81,112,919,Incorrect
incongruent_pinky_thumb,24,18,2,112,16.09,34.24,0.02,0.54,112,1067,Correct
incongruent_pinky_thumb,24,19,2,112,30.55,54.28,0.03,0.85,112,2744,Correct
incongruent_pinky_thumb,24,20,2,112,42.55,70.88,0.05,1.11,112,2228,Correct
incongruent_pinky_thumb,24,21,1,109,49.21,40.31,0.06,0.63,99,757,Incorrect
incongruent_pinky_thumb,24,22,1,99,53.76,79.87,0.06,1.25,109,423,Incorrect
incongruent_pinky_thumb,24,23,2,113,54.29,45.97,0.06,0.72,112,935,Incorrect
incongruent_pinky_thumb,24,24,2,112,47.57,58.82,0.05,0.92,113,876,Incorrect
incongruent_pinky_thumb,24,25,2,112,38.71,51.81,0.04,0.81,112,5264,Correct
incongruent_pinky_thumb,24,26,1,109,75.51,62.92,0.08,0.99,109,1826,Correct
incongruent_pinky_thumb,24,27,1,109,57.76,26.35,0.06,0.41,99,3376,Incorrect
incongruent_pinky_thumb,24,28,2,113,80.07,53.07,0.09,0.83,112,2693,Incorrect
incongruent_pinky_thumb,24,29,2,113,59.33,30.83,0.07,0.48,113,2978,Correct
incongruent_pinky_thumb,24,30,2,113,72.77,48.05,0.08,0.75,113,4625,Correct
incongruent_pinky_thumb,24,31,2,113,72.32,47.24,0.08,0.74,113,1079,Correct
incongruent_pinky_thumb,24,32,1,99,36.0,58.78,0.04,0.92,109,1448,Incorrect
incongruent_pinky_thumb,24,33,1,99,28.2,51.33,0.03,0.81,99,1063,Correct
incongruent_pinky_thumb,24,34,1,99,46.17,77.35,0.05,1.21,99,1082,Correct
incongruent_pinky_thumb,24,35,2,113,55.43,23.27,0.06,0.37,112,2140,Incorrect
incongruent_pinky_thumb,24,36,1,109,31.84,16.51,0.04,0.26,99,842,Incorrect
incongruent_pinky_thumb,24,37,1,109,69.89,43.62,0.08,0.69,109,870,Correct
incongruent_pinky_thumb,24,38,2,113,64.04,43.66,0.07,0.69,113,1374,Correct
incongruent_pinky_thumb,24,39,1,99,37.99,64.29,0.04,1.01,99,2306,Correct
incongruent_pinky_thumb,24,40,1,99,12.34,31.92,0.01,0.5,109,1265,Incorrect
incongruent_pinky_thumb,24,41,2,113,73.48,45.27,0.08,0.71,113,1433,Correct
incongruent_pinky_thumb,24,42,2,113,83.29,60.13,0.09,0.94,112,1035,Incorrect
incongruent_pinky_thumb,24,43,1,99,44.8,52.04,0.05,0.82,109,2288,Incorrect
incongruent_pinky_thumb,24,44,1,109,53.26,37.49,0.06,0.59,99,907,Incorrect
incongruent_pinky_thumb,24,45,2,112,13.74,31.65,0.02,0.5,112,758,Correct
incongruent_pinky_thumb,24,46,1,109,68.36,43.64,0.08,0.69,109,3635,Correct
incongruent_pinky_thumb,24,47,2,112,34.0,67.23,0.04,1.06,113,905,Incorrect
incongruent_pinky_thumb,24,48,1,109,86.17,60.25,0.1,0.95,109,694,Correct
incongruent_pinky_thumb,24,49,2,112,33.96,66.86,0.04,1.05,112,1773,Correct
incongruent_pinky_thumb,24,50,2,112,39.3,57.23,0.04,0.9,112,2844,Incorrect
incongruent_pinky_thumb,24,51,2,113,34.77,11.41,0.04,0.18,113,1547,Correct
incongruent_pinky_thumb,24,52,2,112,45.63,71.71,0.05,1.13,112,953,Correct
incongruent_pinky_thumb,24,53,2,113,72.63,63.11,0.08,0.99,113,626,Correct
incongruent_pinky_thumb,24,54,2,113,57.7,37.5,0.06,0.59,113,873,Correct
incongruent_pinky_thumb,24,55,2,112,45.22,52.59,0.05,0.83,113,614,Incorrect
incongruent_pinky_thumb,24,56,2,113,55.39,25.63,0.06,0.4,113,1349,Correct
incongruent_pinky_thumb,24,57,2,113,65.2,51.01,0.07,0.8,113,1107,Correct
incongruent_pinky_thumb,24,58,2,112,46.22,59.51,0.05,0.93,112,924,Correct
incongruent_pinky_thumb,24,59,1,99,14.31,41.68,0.02,0.65,109,941,Incorrect
incongruent_pinky_thumb,24,60,1,99,43.72,71.53,0.05,1.12,99,687,Correct
incongruent_pinky_thumb,24,61,2,112,32.03,59.19,0.04,0.93,112,2497,Correct
incongruent_pinky_thumb,24,62,1,109,71.21,49.05,0.08,0.77,109,579,Correct
incongruent_pinky_thumb,24,63,2,112,32.87,63.37,0.04,1.0,112,681,Correct
incongruent_pinky_thumb,24,64,1,99,39.69,48.67,0.04,0.76,99,2486,Correct
incongruent_pinky_thumb,24,65,2,113,82.79,60.51,0.09,0.95,113,962,Correct
incongruent_pinky_thumb,24,66,2,113,81.35,55.08,0.09,0.87,113,763,Correct
incongruent_pinky_thumb,24,67,2,112,16.67,32.27,0.02,0.51,112,1159,Correct
incongruent_pinky_thumb,24,68,2,113,80.56,50.96,0.09,0.8,113,659,Correct
incongruent_pinky_thumb,24,69,1,109,42.04,17.9,0.05,0.28,99,647,Incorrect
incongruent_pinky_thumb,24,70,1,99,65.26,79.02,0.07,1.24,109,659,Incorrect
incongruent_pinky_thumb,24,71,2,112,54.69,73.99,0.06,1.16,113,3217,Incorrect
incongruent_pinky_thumb,24,72,2,113,80.78,50.99,0.09,0.8,113,813,Correct
incongruent_pinky_thumb,24,73,1,109,56.49,45.46,0.06,0.71,109,909,Correct
incongruent_pinky_thumb,24,74,1,109,33.5,20.95,0.04,0.33,99,781,Incorrect
incongruent_pinky_thumb,24,75,1,109,47.56,40.09,0.05,0.63,109,524,Correct
incongruent_pinky_thumb,24,76,2,113,67.06,50.62,0.08,0.8,113,1361,Correct
incongruent_pinky_thumb,24,77,1,99,38.14,53.59,0.04,0.84,109,2390,Incorrect
incongruent_pinky_thumb,24,78,1,99,53.66,68.69,0.06,1.08,99,536,Correct
incongruent_pinky_thumb,24,79,2,113,37.13,24.43,0.04,0.38,112,1464,Incorrect
incongruent_pinky_thumb,24,80,2,113,80.62,60.54,0.09,0.95,113,828,Correct
incongruent_pinky_thumb,24,81,1,109,42.55,29.47,0.05,0.46,109,2152,Correct
incongruent_pinky_thumb,24,82,1,109,78.82,55.01,0.09,0.86,99,811,Incorrect
incongruent_pinky_thumb,24,83,1,99,54.94,77.3,0.06,1.21,99,997,Correct
incongruent_pinky_thumb,24,84,2,112,39.99,55.37,0.04,0.87,112,1374,Correct
incongruent_pinky_thumb,24,85,2,113,61.16,47.14,0.07,0.74,112,1132,Incorrect
incongruent_pinky_thumb,24,86,2,112,31.15,54.23,0.03,0.85,112,606,Correct
incongruent_pinky_thumb,24,87,2,113,63.48,48.89,0.07,0.77,113,889,Correct
incongruent_pinky_thumb,24,88,1,99,31.61,46.59,0.04,0.73,109,1303,Incorrect
incongruent_pinky_thumb,24,89,2,113,39.92,26.99,0.04,0.42,112,605,Incorrect
incongruent_pinky_thumb,24,90,2,113,46.34,33.07,0.05,0.52,113,641,Correct
incongruent_pinky_thumb,24,91,1,109,70.77,50.29,0.08,0.79,109,1085,Correct
incongruent_pinky_thumb,24,92,2,113,75.17,49.4,0.08,0.78,113,1251,Correct
incongruent_pinky_thumb,24,93,2,113,78.78,47.5,0.09,0.75,113,705,Correct
incongruent_pinky_thumb,24,94,1,99,13.17,40.32,0.01,0.63,99,914,Correct
incongruent_pinky_thumb,24,95,1,99,45.25,68.62,0.05,1.08,109,832,Incorrect
incongruent_pinky_thumb,24,96,2,112,17.83,39.34,0.02,0.62,112,1342,Correct
incongruent_pinky_thumb,24,97,1,109,56.48,36.88,0.06,0.58,109,839,Correct
incongruent_pinky_thumb,24,98,1,109,51.98,34.11,0.06,0.54,109,706,Correct
incongruent_pinky_thumb,24,99,1,99,11.7,30.7,0.01,0.48,99,1201,Correct
incongruent_pinky_thumb,24,100,1,109,49.91,42.81,0.06,0.67,109,796,Correct
incongruent_pinky_thumb,24,101,1,109,61.3,31.8,0.07,0.5,109,805,Correct
incongruent_pinky_thumb,24,102,1,99,44.66,73.46,0.05,1.15,109,922,Incorrect
incongruent_pinky_thumb,24,103,2,113,73.75,49.08,0.08,0.77,113,503,Correct
incongruent_pinky_thumb,24,104,2,112,16.19,41.65,0.02,0.65,112,583,Correct
