condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,34,0,1,102,18.16,40.31,0.02,0.63,102,3486,Correct
incongruent_pointer_middle,34,1,2,100,85.0,59.71,0.1,0.94,100,3901,Correct
incongruent_pointer_middle,34,2,1,102,20.22,38.13,0.02,0.6,102,2688,Correct
incongruent_pointer_middle,34,3,2,107,33.86,64.96,0.04,1.02,100,1463,Incorrect
incongruent_pointer_middle,34,4,2,100,47.94,32.09,0.05,0.5,100,3011,Correct
incongruent_pointer_middle,34,5,2,107,16.7,43.57,0.02,0.68,107,1273,Correct
incongruent_pointer_middle,34,6,1,106,66.14,38.54,0.07,0.61,102,1597,Incorrect
incongruent_pointer_middle,34,7,2,107,41.44,67.24,0.05,1.06,100,1530,Incorrect
incongruent_pointer_middle,34,8,2,107,34.0,56.94,0.04,0.89,107,1705,Correct
incongruent_pointer_middle,34,9,2,107,50.04,76.68,0.06,1.2,107,2723,Correct
incongruent_pointer_middle,34,10,2,100,62.78,52.45,0.07,0.82,107,2477,Incorrect
incongruent_pointer_middle,34,11,2,107,20.84,50.7,0.02,0.8,100,1959,Incorrect
incongruent_pointer_middle,34,12,2,100,49.85,39.71,0.06,0.62,100,1600,Correct
incongruent_pointer_middle,34,13,2,100,67.3,40.04,0.08,0.63,100,2530,Correct
incongruent_pointer_middle,34,14,2,107,38.31,68.97,0.04,1.08,107,1295,Correct
incongruent_pointer_middle,34,15,2,100,32.85,19.69,0.04,0.31,100,1654,Correct
incongruent_pointer_middle,34,16,1,106,65.53,55.84,0.07,0.88,106,1459,Correct
incongruent_pointer_middle,34,17,2,100,61.05,33.57,0.07,0.53,100,1174,Correct
incongruent_pointer_middle,34,18,2,107,50.12,72.74,0.06,1.14,107,2549,Correct
incongruent_pointer_middle,34,19,1,102,46.86,77.85,0.05,1.22,106,1220,Incorrect
incongruent_pointer_middle,34,20,2,107,59.42,68.48,0.07,1.08,100,1959,Incorrect
incongruent_pointer_middle,34,21,2,100,50.43,34.94,0.06,0.55,100,807,Correct
incongruent_pointer_middle,34,22,1,102,43.25,62.67,0.05,0.98,106,1167,Incorrect
incongruent_pointer_middle,34,23,1,106,40.31,22.2,0.05,0.35,102,945,Incorrect
incongruent_pointer_middle,34,24,2,100,59.08,38.89,0.07,0.61,100,1379,Correct
incongruent_pointer_middle,34,25,2,107,46.76,75.04,0.05,1.18,100,1405,Incorrect
incongruent_pointer_middle,34,26,1,106,61.75,37.12,0.07,0.58,102,925,Incorrect
incongruent_pointer_middle,34,27,1,102,35.61,62.28,0.04,0.98,106,1076,Incorrect
incongruent_pointer_middle,34,28,2,107,18.21,40.39,0.02,0.63,107,1215,Correct
incongruent_pointer_middle,34,29,1,106,58.16,43.23,0.07,0.68,102,1050,Incorrect
incongruent_pointer_middle,34,30,2,107,47.39,58.59,0.05,0.92,107,1100,Correct
incongruent_pointer_middle,34,31,1,102,36.88,51.14,0.04,0.8,102,1424,Correct
incongruent_pointer_middle,34,32,2,107,33.04,58.2,0.04,0.91,100,2956,Incorrect
incongruent_pointer_middle,34,33,2,100,49.46,31.22,0.06,0.49,100,1092,Correct
incongruent_pointer_middle,34,34,1,106,43.99,35.17,0.05,0.55,102,1417,Incorrect
incongruent_pointer_middle,34,35,1,106,61.43,37.75,0.07,0.59,102,1143,Incorrect
incongruent_pointer_middle,34,36,1,106,54.82,32.08,0.06,0.5,106,868,Correct
incongruent_pointer_middle,34,37,1,106,34.91,16.74,0.04,0.26,106,1034,Correct
incongruent_pointer_middle,34,38,1,106,50.67,20.3,0.06,0.32,102,1836,Incorrect
incongruent_pointer_middle,34,39,1,106,62.8,54.51,0.07,0.86,106,930,Correct
incongruent_pointer_middle,34,40,2,107,31.0,41.65,0.03,0.65,107,1727,Correct
incongruent_pointer_middle,34,41,1,102,46.1,60.6,0.05,0.95,106,1216,Incorrect
incongruent_pointer_middle,34,42,1,102,38.73,71.62,0.04,1.12,102,1089,Correct
incongruent_pointer_middle,34,43,2,107,52.66,63.1,0.06,0.99,107,1734,Correct
incongruent_pointer_middle,34,44,1,102,46.62,55.05,0.05,0.86,102,1303,Correct
incongruent_pointer_middle,34,45,2,107,67.11,89.6,0.08,1.41,100,2420,Incorrect
incongruent_pointer_middle,34,46,2,107,30.63,63.05,0.03,0.99,107,4605,Correct
incongruent_pointer_middle,34,47,2,100,47.45,19.14,0.05,0.3,100,1787,Correct
incongruent_pointer_middle,34,48,2,107,50.44,77.43,0.06,1.22,100,942,Incorrect
incongruent_pointer_middle,34,49,1,106,54.25,32.03,0.06,0.5,106,1400,Correct
incongruent_pointer_middle,34,50,1,106,52.97,45.99,0.06,0.72,106,862,Correct
incongruent_pointer_middle,34,51,1,102,56.87,73.02,0.06,1.15,106,1405,Incorrect
incongruent_pointer_middle,34,52,1,102,44.56,53.17,0.05,0.84,106,1106,Incorrect
incongruent_pointer_middle,34,53,2,100,75.23,62.16,0.08,0.98,100,2109,Correct
incongruent_pointer_middle,34,54,2,100,73.96,57.98,0.08,0.91,100,1277,Correct
incongruent_pointer_middle,34,55,1,102,22.76,43.44,0.03,0.68,102,2297,Correct
incongruent_pointer_middle,34,56,1,102,39.82,63.78,0.04,1.0,102,1458,Correct
incongruent_pointer_middle,34,57,2,100,74.68,51.78,0.08,0.81,100,1226,Correct
incongruent_pointer_middle,34,58,2,100,72.0,59.29,0.08,0.93,100,1014,Correct
incongruent_pointer_middle,34,59,1,102,67.81,82.67,0.08,1.3,106,1736,Incorrect
incongruent_pointer_middle,34,60,2,107,38.71,46.5,0.04,0.73,107,2985,Correct
incongruent_pointer_middle,34,61,1,106,70.07,47.5,0.08,0.75,106,1305,Correct
incongruent_pointer_middle,34,62,1,102,67.45,81.07,0.08,1.27,106,1077,Incorrect
incongruent_pointer_middle,34,63,2,107,28.39,42.21,0.03,0.66,107,2042,Correct
incongruent_pointer_middle,34,64,2,100,81.11,62.39,0.09,0.98,107,4388,Incorrect
incongruent_pointer_middle,34,65,2,107,41.33,63.55,0.05,1.0,107,1866,Correct
incongruent_pointer_middle,34,66,1,106,49.64,42.8,0.06,0.67,106,3116,Correct
incongruent_pointer_middle,34,67,1,106,42.43,17.36,0.05,0.27,102,1902,Incorrect
incongruent_pointer_middle,34,68,1,102,23.75,54.57,0.03,0.86,102,2167,Correct
incongruent_pointer_middle,34,69,2,107,35.5,45.18,0.04,0.71,107,2451,Correct
incongruent_pointer_middle,34,70,1,102,63.26,82.46,0.07,1.3,106,2778,Incorrect
incongruent_pointer_middle,34,71,2,107,66.82,82.47,0.07,1.3,100,2438,Incorrect
incongruent_pointer_middle,34,72,1,106,66.84,37.13,0.07,0.58,106,4218,Correct
incongruent_pointer_middle,34,73,1,102,48.82,71.74,0.05,1.13,102,2468,Correct
incongruent_pointer_middle,34,74,1,102,21.33,37.38,0.02,0.59,102,1276,Correct
incongruent_pointer_middle,34,75,2,107,44.93,67.5,0.05,1.06,107,2195,Correct
incongruent_pointer_middle,34,76,2,100,33.48,15.23,0.04,0.24,107,1936,Incorrect
incongruent_pointer_middle,34,77,1,102,26.49,46.31,0.03,0.73,102,2230,Correct
incongruent_pointer_middle,34,78,2,100,73.0,53.39,0.08,0.84,100,2293,Correct
incongruent_pointer_middle,34,79,1,102,12.56,38.46,0.01,0.6,106,958,Incorrect
incongruent_pointer_middle,34,80,2,100,76.69,65.31,0.09,1.03,100,987,Correct
incongruent_pointer_middle,34,81,1,106,85.3,56.42,0.1,0.89,106,1428,Correct
incongruent_pointer_middle,34,82,1,106,50.31,28.42,0.06,0.45,102,2305,Incorrect
incongruent_pointer_middle,34,83,1,102,38.54,53.3,0.04,0.84,102,2239,Correct
incongruent_pointer_middle,34,84,2,100,40.86,24.09,0.05,0.38,100,1866,Correct
incongruent_pointer_middle,34,85,1,106,72.65,60.13,0.08,0.94,106,891,Correct
incongruent_pointer_middle,34,86,2,100,34.32,11.73,0.04,0.18,107,2003,Incorrect
incongruent_pointer_middle,34,87,1,102,19.29,42.67,0.02,0.67,102,1181,Correct
incongruent_pointer_middle,34,88,1,102,61.14,75.4,0.07,1.18,106,3320,Incorrect
incongruent_pointer_middle,34,89,1,106,70.18,50.3,0.08,0.79,106,2123,Correct
incongruent_pointer_middle,34,90,1,102,43.16,52.04,0.05,0.82,102,1535,Correct
incongruent_pointer_middle,34,91,2,100,88.73,66.82,0.1,1.05,100,656,Correct
incongruent_pointer_middle,34,92,1,106,47.68,36.77,0.05,0.58,102,2562,Incorrect
incongruent_pointer_middle,34,93,2,107,54.94,74.95,0.06,1.18,100,1637,Incorrect
incongruent_pointer_middle,34,94,1,106,58.96,42.12,0.07,0.66,102,2697,Incorrect
incongruent_pointer_middle,34,95,2,107,57.98,79.78,0.06,1.25,100,1236,Incorrect
incongruent_pointer_middle,34,96,2,100,30.5,13.05,0.03,0.21,107,1265,Incorrect
incongruent_pointer_middle,34,97,1,106,30.47,11.79,0.03,0.19,106,3552,Correct
incongruent_pointer_middle,34,98,1,102,45.41,66.2,0.05,1.04,102,2037,Correct
incongruent_pointer_middle,34,99,1,102,63.94,78.11,0.07,1.23,102,1873,Correct
incongruent_pointer_middle,34,100,1,102,50.54,81.0,0.06,1.27,102,2243,Correct
incongruent_pointer_middle,34,101,1,102,53.12,61.4,0.06,0.96,102,970,Correct
incongruent_pointer_middle,34,102,2,107,35.0,65.77,0.04,1.03,100,4907,Incorrect
incongruent_pointer_middle,34,103,1,106,87.75,62.28,0.1,0.98,102,1095,Incorrect
incongruent_pointer_middle,34,104,2,100,43.93,26.7,0.05,0.42,100,2084,Correct
incongruent_pointer_middle,34,105,2,100,63.13,47.44,0.07,0.75,100,1386,Correct
incongruent_pointer_middle,34,106,1,106,76.24,55.2,0.09,0.87,102,3573,Incorrect
incongruent_pointer_middle,34,107,2,107,25.05,42.68,0.03,0.67,100,921,Incorrect
incongruent_pointer_middle,34,108,2,107,40.45,58.9,0.05,0.93,100,2247,Incorrect
incongruent_pointer_middle,34,109,1,106,77.24,51.05,0.09,0.8,102,5407,Incorrect
incongruent_pointer_middle,34,110,1,102,67.1,89.97,0.08,1.41,102,1644,Correct
incongruent_pointer_middle,34,111,1,106,57.11,30.9,0.06,0.49,106,1126,Correct
incongruent_pointer_middle,34,112,1,102,44.16,58.23,0.05,0.91,106,3011,Incorrect
incongruent_pointer_middle,34,113,1,106,80.0,50.56,0.09,0.79,106,1061,Correct
incongruent_pointer_middle,34,114,2,107,51.0,78.32,0.06,1.23,100,2662,Incorrect
incongruent_pointer_middle,34,115,2,107,45.9,75.88,0.05,1.19,100,4226,Incorrect
incongruent_pointer_middle,34,116,1,102,19.51,48.27,0.02,0.76,106,1675,Incorrect
incongruent_pointer_middle,34,117,2,107,63.14,73.39,0.07,1.15,100,2777,Incorrect
incongruent_pointer_middle,34,118,2,100,57.65,28.44,0.06,0.45,107,1958,Incorrect
