condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pinky_thumb,16,0,2,113,52.56,29.88,0.06,0.47,112,3337,Incorrect
incongruent_pinky_thumb,16,1,1,99,26.32,42.98,0.03,0.68,99,4677,Correct
incongruent_pinky_thumb,16,2,2,112,27.37,37.62,0.03,0.59,113,1788,Incorrect
incongruent_pinky_thumb,16,3,2,112,51.9,58.9,0.06,0.93,112,5077,Correct
incongruent_pinky_thumb,16,4,1,109,43.84,33.68,0.05,0.53,99,6621,Incorrect
incongruent_pinky_thumb,16,5,1,99,41.21,56.65,0.05,0.89,109,2397,Incorrect
incongruent_pinky_thumb,16,6,2,112,23.38,36.34,0.03,0.57,113,3093,Incorrect
incongruent_pinky_thumb,16,7,1,99,19.59,35.09,0.02,0.55,99,6582,Correct
incongruent_pinky_thumb,16,8,1,99,61.27,85.03,0.07,1.34,99,4068,Correct
incongruent_pinky_thumb,16,9,2,112,44.34,51.71,0.05,0.81,113,1732,Incorrect
incongruent_pinky_thumb,16,10,1,109,85.17,64.24,0.1,1.01,109,4237,Correct
incongruent_pinky_thumb,16,11,2,112,43.6,60.47,0.05,0.95,113,2061,Incorrect
incongruent_pinky_thumb,16,12,2,113,48.59,24.93,0.05,0.39,113,3055,Correct
incongruent_pinky_thumb,16,13,2,113,87.74,60.12,0.1,0.94,112,1844,Incorrect
incongruent_pinky_thumb,16,14,2,113,78.09,62.0,0.09,0.97,113,1513,Correct
incongruent_pinky_thumb,16,15,1,109,53.0,22.39,0.06,0.35,109,2477,Correct
incongruent_pinky_thumb,16,16,1,109,54.49,46.17,0.06,0.73,99,748,Incorrect
incongruent_pinky_thumb,16,17,2,113,54.05,47.1,0.06,0.74,113,2786,Correct
incongruent_pinky_thumb,16,18,1,109,81.77,51.16,0.09,0.8,99,1243,Incorrect
incongruent_pinky_thumb,16,19,1,109,75.77,44.04,0.08,0.69,99,2454,Incorrect
incongruent_pinky_thumb,16,20,2,113,35.3,13.33,0.04,0.21,113,2533,Correct
incongruent_pinky_thumb,16,21,1,99,26.64,48.19,0.03,0.76,99,3853,Correct
incongruent_pinky_thumb,16,22,1,99,24.97,54.38,0.03,0.85,99,2649,Correct
incongruent_pinky_thumb,16,23,1,109,53.03,28.06,0.06,0.44,109,3991,Correct
incongruent_pinky_thumb,16,24,1,99,34.36,50.82,0.04,0.8,99,547,Correct
incongruent_pinky_thumb,16,25,2,112,35.77,43.76,0.04,0.69,113,3732,Incorrect
incongruent_pinky_thumb,16,26,1,99,23.45,37.39,0.03,0.59,99,939,Correct
incongruent_pinky_thumb,16,27,2,112,61.74,78.43,0.07,1.23,113,3134,Incorrect
incongruent_pinky_thumb,16,28,1,109,81.46,66.93,0.09,1.05,109,1922,Correct
incongruent_pinky_thumb,16,29,1,99,25.24,40.68,0.03,0.64,99,2191,Correct
incongruent_pinky_thumb,16,30,2,112,20.34,37.6,0.02,0.59,113,3852,Incorrect
incongruent_pinky_thumb,16,31,2,113,85.92,59.58,0.1,0.94,113,4081,Correct
incongruent_pinky_thumb,16,32,2,112,57.72,80.09,0.06,1.26,113,1579,Incorrect
incongruent_pinky_thumb,16,33,2,113,64.35,45.78,0.07,0.72,113,2151,Correct
incongruent_pinky_thumb,16,34,2,112,60.68,79.92,0.07,1.26,112,1398,Correct
incongruent_pinky_thumb,16,35,2,112,39.7,56.66,0.04,0.89,113,2322,Incorrect
incongruent_pinky_thumb,16,36,2,113,83.12,60.91,0.09,0.96,112,2988,Incorrect
incongruent_pinky_thumb,16,37,1,99,62.01,81.27,0.07,1.28,109,1894,Incorrect
incongruent_pinky_thumb,16,38,1,99,52.5,62.4,0.06,0.98,99,1432,Correct
incongruent_pinky_thumb,16,39,2,113,53.31,28.3,0.06,0.44,113,3758,Correct
incongruent_pinky_thumb,16,40,2,112,59.45,78.17,0.07,1.23,112,1835,Correct
incongruent_pinky_thumb,16,41,2,113,59.57,30.74,0.07,0.48,113,1189,Correct
incongruent_pinky_thumb,16,42,2,112,63.56,84.69,0.07,1.33,112,978,Correct
incongruent_pinky_thumb,16,43,1,109,52.94,25.31,0.06,0.4,109,2602,Correct
incongruent_pinky_thumb,16,44,1,99,40.18,67.68,0.04,1.06,99,685,Correct
incongruent_pinky_thumb,16,45,1,99,65.46,85.79,0.07,1.35,109,3730,Incorrect
incongruent_pinky_thumb,16,46,1,109,36.3,14.22,0.04,0.22,99,2766,Incorrect
incongruent_pinky_thumb,16,47,1,109,36.36,12.59,0.04,0.2,109,1376,Correct
incongruent_pinky_thumb,16,48,2,112,50.49,57.74,0.06,0.91,112,2003,Correct
incongruent_pinky_thumb,16,49,1,99,44.84,63.2,0.05,0.99,32,3068,Incorrect
incongruent_pinky_thumb,16,50,1,109,70.99,47.42,0.08,0.74,99,5286,Incorrect
incongruent_pinky_thumb,16,51,2,113,54.78,36.15,0.06,0.57,113,5702,Correct
incongruent_pinky_thumb,16,52,2,112,52.08,63.23,0.06,0.99,112,1018,Correct
incongruent_pinky_thumb,16,53,2,113,59.27,42.58,0.07,0.67,113,933,Correct
incongruent_pinky_thumb,16,54,1,99,36.19,63.85,0.04,1.0,99,2177,Correct
incongruent_pinky_thumb,16,55,1,99,56.11,78.05,0.06,1.23,109,1928,Incorrect
incongruent_pinky_thumb,16,56,1,99,49.14,67.6,0.05,1.06,99,1561,Correct
incongruent_pinky_thumb,16,57,1,109,34.25,11.68,0.04,0.18,109,1033,Correct
incongruent_pinky_thumb,16,58,1,99,54.8,65.33,0.06,1.03,99,838,Correct
incongruent_pinky_thumb,16,59,1,109,62.29,52.98,0.07,0.83,99,2052,Incorrect
incongruent_pinky_thumb,16,60,2,113,77.03,61.47,0.09,0.97,112,5189,Incorrect
incongruent_pinky_thumb,16,61,1,109,72.55,43.63,0.08,0.69,99,1784,Incorrect
incongruent_pinky_thumb,16,62,2,112,14.66,30.56,0.02,0.48,113,3787,Incorrect
incongruent_pinky_thumb,16,63,1,99,18.89,46.14,0.02,0.72,99,2541,Correct
incongruent_pinky_thumb,16,64,1,99,31.62,51.72,0.04,0.81,99,1766,Correct
incongruent_pinky_thumb,16,65,1,109,47.24,18.44,0.05,0.29,112,1970,Correct
incongruent_pinky_thumb,16,66,1,109,61.1,44.34,0.07,0.7,99,921,Incorrect
incongruent_pinky_thumb,16,67,2,113,44.24,21.49,0.05,0.34,113,2758,Correct
incongruent_pinky_thumb,16,68,2,113,77.74,49.97,0.09,0.78,112,3249,Incorrect
incongruent_pinky_thumb,16,69,2,113,45.2,17.51,0.05,0.28,113,986,Correct
incongruent_pinky_thumb,16,70,2,113,63.01,40.04,0.07,0.63,113,1424,Correct
incongruent_pinky_thumb,16,71,1,109,70.44,40.98,0.08,0.64,99,2532,Incorrect
