condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pinky_thumb,35,0,2,112,49.32,27.26,0.06,0.43,112,6636,Correct
congruent_pinky_thumb,35,1,1,109,55.92,40.55,0.06,0.64,109,2720,Correct
congruent_pinky_thumb,35,2,2,113,15.67,32.76,0.02,0.51,113,3076,Correct
congruent_pinky_thumb,35,3,2,113,28.67,60.35,0.03,0.95,112,3242,Incorrect
congruent_pinky_thumb,35,4,2,112,32.63,13.2,0.04,0.21,113,6432,Incorrect
congruent_pinky_thumb,35,5,2,113,30.8,51.21,0.03,0.8,112,6219,Incorrect
congruent_pinky_thumb,35,6,1,99,29.22,45.14,0.03,0.71,99,2587,Correct
congruent_pinky_thumb,35,7,2,112,31.63,14.91,0.04,0.23,113,4959,Incorrect
congruent_pinky_thumb,35,8,1,99,25.53,46.65,0.03,0.73,109,2382,Incorrect
congruent_pinky_thumb,35,9,2,112,70.05,38.52,0.08,0.61,112,3046,Correct
congruent_pinky_thumb,35,10,2,112,38.57,18.55,0.04,0.29,113,5505,Incorrect
congruent_pinky_thumb,35,11,1,109,69.19,38.77,0.08,0.61,109,2379,Correct
congruent_pinky_thumb,35,12,2,112,50.09,41.44,0.06,0.65,112,3767,Correct
congruent_pinky_thumb,35,13,1,99,15.5,40.32,0.02,0.63,99,2854,Correct
congruent_pinky_thumb,35,14,2,113,38.38,66.56,0.04,1.05,113,4428,Correct
congruent_pinky_thumb,35,15,1,109,64.13,46.14,0.07,0.72,109,2613,Correct
congruent_pinky_thumb,35,16,2,112,46.78,36.32,0.05,0.57,112,2038,Correct
congruent_pinky_thumb,35,17,2,112,80.43,60.14,0.09,0.94,112,2612,Correct
congruent_pinky_thumb,35,18,1,109,62.79,43.78,0.07,0.69,109,1172,Correct
congruent_pinky_thumb,35,19,2,113,45.54,59.44,0.05,0.93,113,1295,Correct
congruent_pinky_thumb,35,20,1,99,34.72,65.13,0.04,1.02,99,1807,Correct
congruent_pinky_thumb,35,21,1,99,53.52,79.07,0.06,1.24,109,1818,Incorrect
congruent_pinky_thumb,35,22,2,113,32.47,63.61,0.04,1.0,113,979,Correct
congruent_pinky_thumb,35,23,2,112,81.0,53.85,0.09,0.85,112,943,Correct
congruent_pinky_thumb,35,24,1,109,56.35,27.58,0.06,0.43,99,3349,Incorrect
congruent_pinky_thumb,35,25,2,112,59.12,26.79,0.07,0.42,112,2932,Correct
congruent_pinky_thumb,35,26,2,113,51.97,76.86,0.06,1.21,113,1615,Correct
congruent_pinky_thumb,35,27,1,99,59.37,83.5,0.07,1.31,109,1806,Incorrect
congruent_pinky_thumb,35,28,1,109,77.82,62.92,0.09,0.99,109,1485,Correct
congruent_pinky_thumb,35,29,2,112,84.29,62.09,0.09,0.98,112,1426,Correct
congruent_pinky_thumb,35,30,1,99,44.4,62.87,0.05,0.99,99,1260,Correct
congruent_pinky_thumb,35,31,2,112,39.98,25.57,0.04,0.4,113,1371,Incorrect
congruent_pinky_thumb,35,32,1,109,82.49,60.11,0.09,0.94,109,2150,Correct
congruent_pinky_thumb,35,33,2,112,36.9,21.34,0.04,0.34,113,2531,Incorrect
congruent_pinky_thumb,35,34,2,113,52.63,65.67,0.06,1.03,113,4245,Correct
congruent_pinky_thumb,35,35,1,109,62.76,45.78,0.07,0.72,109,1659,Correct
congruent_pinky_thumb,35,36,2,112,49.86,27.12,0.06,0.43,113,2861,Incorrect
congruent_pinky_thumb,35,37,1,99,40.28,60.45,0.05,0.95,99,1082,Correct
congruent_pinky_thumb,35,38,2,113,20.12,48.63,0.02,0.76,113,1708,Correct
congruent_pinky_thumb,35,39,1,109,70.78,41.16,0.08,0.65,109,1757,Correct
congruent_pinky_thumb,35,40,2,113,46.32,60.72,0.05,0.95,113,2209,Correct
congruent_pinky_thumb,35,41,2,112,67.82,51.63,0.08,0.81,112,1094,Correct
congruent_pinky_thumb,35,42,2,113,19.04,49.27,0.02,0.77,112,1673,Incorrect
congruent_pinky_thumb,35,43,2,112,38.56,27.26,0.04,0.43,113,1279,Incorrect
congruent_pinky_thumb,35,44,1,99,17.91,32.23,0.02,0.51,99,1044,Correct
congruent_pinky_thumb,35,45,1,109,35.95,14.4,0.04,0.23,99,1600,Incorrect
congruent_pinky_thumb,35,46,2,112,49.33,24.96,0.06,0.39,113,2049,Incorrect
congruent_pinky_thumb,35,47,1,109,72.79,44.93,0.08,0.71,109,762,Correct
congruent_pinky_thumb,35,48,2,112,57.68,50.56,0.06,0.79,112,3968,Correct
congruent_pinky_thumb,35,49,2,112,56.59,28.53,0.06,0.45,112,755,Correct
congruent_pinky_thumb,35,50,1,109,35.41,24.77,0.04,0.39,99,875,Incorrect
congruent_pinky_thumb,35,51,2,113,37.19,66.23,0.04,1.04,113,1069,Correct
congruent_pinky_thumb,35,52,1,99,32.2,41.96,0.04,0.66,109,3156,Incorrect
congruent_pinky_thumb,35,53,1,109,54.54,43.42,0.06,0.68,109,5431,Correct
congruent_pinky_thumb,35,54,2,113,20.94,48.89,0.02,0.77,113,845,Correct
congruent_pinky_thumb,35,55,1,109,44.13,23.91,0.05,0.38,109,1772,Correct
congruent_pinky_thumb,35,56,2,112,81.44,51.21,0.09,0.8,112,1000,Correct
congruent_pinky_thumb,35,57,2,112,72.82,48.66,0.08,0.76,112,1146,Correct
