condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pointer_middle,30,0,2,100,75.41,44.56,0.08,0.7,100,3316,Correct
incongruent_pointer_middle,30,1,2,107,37.6,67.6,0.04,1.06,100,2020,Incorrect
incongruent_pointer_middle,30,2,2,100,87.03,69.82,0.1,1.1,100,5076,Correct
incongruent_pointer_middle,30,3,2,100,52.75,25.47,0.06,0.4,107,1343,Incorrect
incongruent_pointer_middle,30,4,2,107,40.12,63.19,0.04,0.99,107,1436,Correct
incongruent_pointer_middle,30,5,2,107,18.25,38.67,0.02,0.61,100,3986,Incorrect
incongruent_pointer_middle,30,6,1,106,54.16,42.0,0.06,0.66,106,2448,Correct
incongruent_pointer_middle,30,7,2,100,59.64,49.57,0.07,0.78,100,2801,Correct
incongruent_pointer_middle,30,8,2,100,36.93,24.18,0.04,0.38,107,2757,Incorrect
incongruent_pointer_middle,30,9,2,100,82.6,53.96,0.09,0.85,100,3471,Correct
incongruent_pointer_middle,30,10,2,107,43.6,73.78,0.05,1.16,107,1485,Correct
incongruent_pointer_middle,30,11,2,100,45.0,30.53,0.05,0.48,100,1851,Correct
incongruent_pointer_middle,30,12,2,100,67.91,50.56,0.08,0.79,100,3438,Correct
incongruent_pointer_middle,30,13,2,107,36.77,44.59,0.04,0.7,107,989,Correct
incongruent_pointer_middle,30,14,1,106,86.08,63.52,0.1,1.0,106,2972,Correct
incongruent_pointer_middle,30,15,1,102,44.0,57.48,0.05,0.9,106,2573,Incorrect
incongruent_pointer_middle,30,16,2,100,85.2,68.71,0.1,1.08,100,1920,Correct
incongruent_pointer_middle,30,17,1,102,25.07,55.09,0.03,0.87,106,1293,Incorrect
incongruent_pointer_middle,30,18,1,102,32.03,53.11,0.04,0.83,106,1439,Incorrect
incongruent_pointer_middle,30,19,1,102,40.72,56.94,0.05,0.89,106,1337,Incorrect
incongruent_pointer_middle,30,20,1,102,44.16,63.55,0.05,1.0,106,1590,Incorrect
incongruent_pointer_middle,30,21,2,107,36.42,65.15,0.04,1.02,107,2436,Correct
incongruent_pointer_middle,30,22,1,106,32.59,15.88,0.04,0.25,102,962,Incorrect
incongruent_pointer_middle,30,23,1,106,60.03,35.88,0.07,0.56,102,738,Incorrect
incongruent_pointer_middle,30,24,2,107,25.61,44.95,0.03,0.71,100,1837,Incorrect
incongruent_pointer_middle,30,25,1,106,79.86,53.57,0.09,0.84,106,1665,Correct
incongruent_pointer_middle,30,26,1,106,78.52,54.53,0.09,0.86,106,1144,Correct
incongruent_pointer_middle,30,27,1,102,25.85,39.42,0.03,0.62,102,1832,Correct
incongruent_pointer_middle,30,28,2,107,50.3,80.67,0.06,1.27,100,1346,Incorrect
incongruent_pointer_middle,30,29,2,100,65.63,38.18,0.07,0.6,107,1534,Incorrect
incongruent_pointer_middle,30,30,2,100,79.11,64.83,0.09,1.02,107,1685,Incorrect
incongruent_pointer_middle,30,31,2,107,26.98,47.8,0.03,0.75,100,2834,Incorrect
incongruent_pointer_middle,30,32,2,100,56.21,29.62,0.06,0.47,100,2122,Correct
