condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pinky_thumb,39,0,1,109,50.51,21.34,0.06,0.34,99,2658,Incorrect
congruent_pinky_thumb,39,1,1,109,38.66,26.02,0.04,0.41,109,1400,Correct
congruent_pinky_thumb,39,2,1,109,46.15,23.98,0.05,0.38,99,910,Incorrect
congruent_pinky_thumb,39,3,1,99,66.16,88.97,0.07,1.4,99,1451,Correct
congruent_pinky_thumb,39,4,2,113,41.89,55.15,0.05,0.87,112,1458,Incorrect
congruent_pinky_thumb,39,5,1,109,73.35,58.85,0.08,0.92,99,1176,Incorrect
congruent_pinky_thumb,39,6,2,112,60.25,39.51,0.07,0.62,112,1208,Correct
congruent_pinky_thumb,39,7,2,112,73.1,49.47,0.08,0.78,112,2868,Correct
congruent_pinky_thumb,39,8,1,99,41.19,49.55,0.05,0.78,109,1245,Incorrect
congruent_pinky_thumb,39,9,1,109,51.06,40.41,0.06,0.63,109,1507,Correct
congruent_pinky_thumb,39,10,2,112,79.15,64.54,0.09,1.01,113,1498,Incorrect
congruent_pinky_thumb,39,11,2,113,52.23,67.17,0.06,1.06,112,1609,Incorrect
congruent_pinky_thumb,39,12,1,109,55.87,39.15,0.06,0.62,109,1231,Correct
congruent_pinky_thumb,39,13,1,99,22.7,52.61,0.03,0.83,109,1016,Incorrect
congruent_pinky_thumb,39,14,1,109,62.92,30.79,0.07,0.48,99,1136,Incorrect
congruent_pinky_thumb,39,15,1,99,54.82,77.67,0.06,1.22,99,1243,Correct
congruent_pinky_thumb,39,16,1,109,56.81,26.49,0.06,0.42,109,1457,Correct
congruent_pinky_thumb,39,17,1,99,50.84,58.34,0.06,0.92,99,704,Correct
congruent_pinky_thumb,39,18,1,109,74.67,59.11,0.08,0.93,109,1121,Correct
congruent_pinky_thumb,39,19,1,109,54.14,33.61,0.06,0.53,109,988,Correct
congruent_pinky_thumb,39,20,2,113,48.47,77.14,0.05,1.21,113,741,Correct
congruent_pinky_thumb,39,21,1,109,76.61,64.82,0.09,1.02,109,1039,Correct
congruent_pinky_thumb,39,22,1,109,83.4,65.89,0.09,1.03,109,960,Correct
congruent_pinky_thumb,39,23,2,113,32.55,55.36,0.04,0.87,112,1177,Incorrect
congruent_pinky_thumb,39,24,2,112,44.02,35.16,0.05,0.55,112,1616,Correct
congruent_pinky_thumb,39,25,1,99,29.87,53.35,0.03,0.84,99,970,Correct
congruent_pinky_thumb,39,26,1,109,68.88,56.13,0.08,0.88,109,775,Correct
congruent_pinky_thumb,39,27,1,109,62.89,48.2,0.07,0.76,109,912,Correct
congruent_pinky_thumb,39,28,2,113,37.88,46.89,0.04,0.74,113,1303,Correct
congruent_pinky_thumb,39,29,1,109,80.08,48.54,0.09,0.76,109,864,Correct
congruent_pinky_thumb,39,30,1,99,26.88,54.76,0.03,0.86,99,1041,Correct
congruent_pinky_thumb,39,31,2,112,50.07,39.94,0.06,0.63,113,1020,Incorrect
congruent_pinky_thumb,39,32,2,112,74.6,45.94,0.08,0.72,113,943,Incorrect
congruent_pinky_thumb,39,33,2,113,45.13,64.14,0.05,1.01,112,1358,Incorrect
congruent_pinky_thumb,39,34,1,109,72.6,41.83,0.08,0.66,109,1054,Correct
congruent_pinky_thumb,39,35,2,113,43.39,67.49,0.05,1.06,112,1106,Incorrect
congruent_pinky_thumb,39,36,2,113,18.26,48.09,0.02,0.76,112,2080,Incorrect
congruent_pinky_thumb,39,37,2,113,61.18,80.96,0.07,1.27,112,1160,Incorrect
congruent_pinky_thumb,39,38,1,99,23.83,47.69,0.03,0.75,109,913,Incorrect
congruent_pinky_thumb,39,39,1,99,49.64,60.81,0.06,0.96,109,690,Incorrect
congruent_pinky_thumb,39,40,1,99,37.36,69.04,0.04,1.08,109,2038,Incorrect
congruent_pinky_thumb,39,41,1,109,42.61,25.05,0.05,0.39,99,859,Incorrect
congruent_pinky_thumb,39,42,1,99,12.61,37.14,0.01,0.58,109,1916,Incorrect
congruent_pinky_thumb,39,43,2,112,60.6,29.73,0.07,0.47,113,1748,Incorrect
congruent_pinky_thumb,39,44,1,99,37.1,50.98,0.04,0.8,109,692,Incorrect
congruent_pinky_thumb,39,45,1,99,45.36,61.35,0.05,0.96,109,877,Incorrect
congruent_pinky_thumb,39,46,1,99,52.03,63.87,0.06,1.0,99,800,Correct
congruent_pinky_thumb,39,47,2,113,56.41,80.78,0.06,1.27,113,2738,Correct
congruent_pinky_thumb,39,48,1,109,51.16,35.35,0.06,0.56,109,1023,Correct
congruent_pinky_thumb,39,49,1,109,48.75,27.25,0.05,0.43,109,809,Correct
congruent_pinky_thumb,39,50,1,99,63.43,78.34,0.07,1.23,99,828,Correct
congruent_pinky_thumb,39,51,2,113,36.15,66.91,0.04,1.05,113,1241,Correct
congruent_pinky_thumb,39,52,1,99,65.22,85.38,0.07,1.34,99,3282,Correct
congruent_pinky_thumb,39,53,1,99,52.76,64.21,0.06,1.01,99,874,Correct
congruent_pinky_thumb,39,54,1,99,60.08,78.82,0.07,1.24,99,755,Correct
congruent_pinky_thumb,39,55,2,113,35.72,67.32,0.04,1.06,112,1455,Incorrect
congruent_pinky_thumb,39,56,1,109,58.19,36.13,0.07,0.57,109,1386,Correct
congruent_pinky_thumb,39,57,1,109,53.75,35.99,0.06,0.57,109,937,Correct
congruent_pinky_thumb,39,58,1,109,69.28,44.74,0.08,0.7,109,887,Correct
congruent_pinky_thumb,39,59,2,112,52.18,36.16,0.06,0.57,112,1436,Correct
congruent_pinky_thumb,39,60,1,109,87.2,69.52,0.1,1.09,99,1928,Incorrect
congruent_pinky_thumb,39,61,1,109,61.46,41.11,0.07,0.65,109,904,Correct
congruent_pinky_thumb,39,62,1,99,27.26,44.57,0.03,0.7,109,845,Incorrect
congruent_pinky_thumb,39,63,1,99,53.93,67.95,0.06,1.07,99,1171,Correct
congruent_pinky_thumb,39,64,2,112,47.73,27.85,0.05,0.44,113,1159,Incorrect
congruent_pinky_thumb,39,65,1,109,77.48,51.26,0.09,0.81,109,1651,Correct
congruent_pinky_thumb,39,66,2,112,88.74,68.62,0.1,1.08,112,1122,Correct
congruent_pinky_thumb,39,67,2,113,52.38,74.34,0.06,1.17,112,991,Incorrect
congruent_pinky_thumb,39,68,1,109,61.54,33.24,0.07,0.52,109,2666,Correct
congruent_pinky_thumb,39,69,1,109,68.1,44.73,0.08,0.7,109,993,Correct
congruent_pinky_thumb,39,70,1,109,43.62,21.31,0.05,0.33,109,972,Correct
congruent_pinky_thumb,39,71,2,113,12.57,38.52,0.01,0.61,113,1159,Correct
congruent_pinky_thumb,39,72,2,113,26.69,57.82,0.03,0.91,112,1880,Incorrect
congruent_pinky_thumb,39,73,1,99,68.09,85.4,0.08,1.34,109,1071,Incorrect
congruent_pinky_thumb,39,74,1,99,17.51,38.17,0.02,0.6,109,1616,Incorrect
congruent_pinky_thumb,39,75,2,112,42.6,15.59,0.05,0.24,113,1683,Incorrect
congruent_pinky_thumb,39,76,1,109,47.95,25.51,0.05,0.4,109,863,Correct
congruent_pinky_thumb,39,77,2,112,41.2,31.05,0.05,0.49,112,818,Correct
congruent_pinky_thumb,39,78,1,109,63.34,42.89,0.07,0.67,99,1421,Incorrect
congruent_pinky_thumb,39,79,1,109,78.92,47.68,0.09,0.75,109,721,Correct
congruent_pinky_thumb,39,80,2,112,56.91,39.15,0.06,0.62,112,2559,Correct
congruent_pinky_thumb,39,81,2,113,41.46,64.7,0.05,1.02,113,745,Correct
congruent_pinky_thumb,39,82,1,109,57.75,28.86,0.06,0.45,109,1435,Correct
congruent_pinky_thumb,39,83,2,113,35.27,59.11,0.04,0.93,113,947,Correct
congruent_pinky_thumb,39,84,2,113,36.02,67.52,0.04,1.06,113,675,Correct
congruent_pinky_thumb,39,85,2,112,41.27,14.47,0.05,0.23,112,574,Correct
congruent_pinky_thumb,39,86,1,109,62.08,54.62,0.07,0.86,109,1397,Correct
congruent_pinky_thumb,39,87,1,99,22.98,51.96,0.03,0.82,99,893,Correct
congruent_pinky_thumb,39,88,1,99,20.53,35.14,0.02,0.55,99,705,Correct
congruent_pinky_thumb,39,89,2,113,24.32,50.85,0.03,0.8,113,1062,Correct
congruent_pinky_thumb,39,90,1,109,49.62,20.68,0.06,0.32,109,727,Correct
congruent_pinky_thumb,39,91,2,112,81.03,51.28,0.09,0.81,113,1275,Incorrect
congruent_pinky_thumb,39,92,1,99,36.49,44.58,0.04,0.7,99,2115,Correct
congruent_pinky_thumb,39,93,2,112,35.37,14.52,0.04,0.23,112,1404,Correct
congruent_pinky_thumb,39,94,2,113,40.66,54.58,0.05,0.86,113,1225,Correct
congruent_pinky_thumb,39,95,1,109,80.91,54.67,0.09,0.86,109,1074,Correct
congruent_pinky_thumb,39,96,2,112,67.56,42.95,0.08,0.67,112,2991,Correct
congruent_pinky_thumb,39,97,1,99,18.03,48.26,0.02,0.76,99,791,Correct
congruent_pinky_thumb,39,98,1,109,71.67,44.03,0.08,0.69,109,887,Correct
congruent_pinky_thumb,39,99,2,112,69.95,57.78,0.08,0.91,112,2036,Correct
congruent_pinky_thumb,39,100,2,113,21.32,47.52,0.02,0.75,113,710,Correct
congruent_pinky_thumb,39,101,2,113,16.87,39.55,0.02,0.62,112,1070,Incorrect
congruent_pinky_thumb,39,102,2,112,34.03,12.01,0.04,0.19,112,1334,Correct
congruent_pinky_thumb,39,103,2,113,21.09,40.41,0.02,0.63,113,779,Correct
congruent_pinky_thumb,39,104,2,113,32.66,57.65,0.04,0.91,113,755,Correct
congruent_pinky_thumb,39,105,2,113,49.88,72.81,0.06,1.14,113,773,Correct
congruent_pinky_thumb,39,106,2,113,30.71,44.69,0.03,0.7,113,787,Correct
congruent_pinky_thumb,39,107,1,109,43.34,32.95,0.05,0.52,109,759,Correct
congruent_pinky_thumb,39,108,1,109,72.63,57.84,0.08,0.91,109,596,Correct
congruent_pinky_thumb,39,109,1,99,21.14,43.13,0.02,0.68,99,488,Correct
congruent_pinky_thumb,39,110,2,112,38.1,16.83,0.04,0.26,112,961,Correct
congruent_pinky_thumb,39,111,2,112,63.51,33.48,0.07,0.53,112,1641,Correct
congruent_pinky_thumb,39,112,2,112,53.88,46.14,0.06,0.72,112,705,Correct
congruent_pinky_thumb,39,113,2,112,42.14,13.68,0.05,0.21,112,668,Correct
congruent_pinky_thumb,39,114,1,109,56.13,29.58,0.06,0.46,109,535,Correct
congruent_pinky_thumb,39,115,1,109,59.94,42.95,0.07,0.67,109,516,Correct
congruent_pinky_thumb,39,116,1,109,54.4,25.01,0.06,0.39,109,678,Correct
congruent_pinky_thumb,39,117,2,113,11.59,35.01,0.01,0.55,112,1097,Incorrect
congruent_pinky_thumb,39,118,2,112,44.36,35.23,0.05,0.55,112,1108,Correct
congruent_pinky_thumb,39,119,2,112,49.89,38.73,0.06,0.61,112,1221,Correct
congruent_pinky_thumb,39,120,2,112,49.3,33.55,0.06,0.53,112,797,Correct
congruent_pinky_thumb,39,121,1,109,80.63,61.76,0.09,0.97,109,1874,Correct
congruent_pinky_thumb,39,122,1,99,46.05,72.48,0.05,1.14,109,1713,Incorrect
congruent_pinky_thumb,39,123,2,112,69.11,41.42,0.08,0.65,112,1023,Correct
congruent_pinky_thumb,39,124,2,113,12.87,34.45,0.01,0.54,113,508,Correct
congruent_pinky_thumb,39,125,2,113,24.11,36.5,0.03,0.57,113,718,Correct
congruent_pinky_thumb,39,126,2,112,64.7,36.37,0.07,0.57,112,901,Correct
congruent_pinky_thumb,39,127,2,113,11.1,32.45,0.01,0.51,113,805,Correct
congruent_pinky_thumb,39,128,1,109,73.8,63.47,0.08,1.0,99,1281,Incorrect
